D0,D1,D2,date,value
T,UEB_NPB_DAA,ATA,2026-02-01,10086.371
T,UEB_NPB_DAA,ATA,2026-03-01,10460.497
T,UEB_NPB_DAA,ATA,2026-04-01,10800.515
T,UEB_NPB_DAA,ATA,2026-05-01,10011.417
T,UEB_NPB_DAA,BET,2022-01-01,24568852.70038301
T,UEB_NPB_DAA,BET,2022-02-01,25657943.41287601
T,UEB_NPB_DAA,BET,2022-03-01,28516717.175649
T,UEB_NPB_DAA,BET,2022-04-01,25900913.77857001
T,UEB_NPB_DAA,BET,2022-05-01,31227044.25478701
T,UEB_NPB_DAA,BET,2022-06-01,23551167.20911401
T,UEB_NPB_DAA,BET,2022-07-01,22877404.586520024
T,UEB_NPB_DAA,BET,2022-08-01,23636285.065893017
T,UEB_NPB_DAA,BET,2022-09-01,21486505.67690603
T,UEB_NPB_DAA,BET,2022-10-01,19326571.853407
T,UEB_NPB_DAA,BET,2022-11-01,24302564.982467003
T,UEB_NPB_DAA,BET,2022-12-01,25101525.35537401
T,UEB_NPB_DAA,BET,2023-01-01,19839774.86213601
T,UEB_NPB_DAA,BET,2023-02-01,22657878.97689
T,UEB_NPB_DAA,BET,2023-03-01,27906025.739239007
T,UEB_NPB_DAA,BET,2023-04-01,25038293.59869299
T,UEB_NPB_DAA,BET,2023-05-01,30171308.126718
T,UEB_NPB_DAA,BET,2023-06-01,22864536.137773998
T,UEB_NPB_DAA,BET,2023-07-01,21697989.62816598
T,UEB_NPB_DAA,BET,2023-08-01,22897635.676492002
T,UEB_NPB_DAA,BET,2023-09-01,20417406.24513102
T,UEB_NPB_DAA,BET,2023-10-01,20631789.381658982
T,UEB_NPB_DAA,BET,2023-11-01,22605713.15238999
T,UEB_NPB_DAA,BET,2023-12-01,23866713.42372798
T,UEB_NPB_DAA,BET,2024-01-01,22757408.547157
T,UEB_NPB_DAA,BET,2024-02-01,22817403.675292976
T,UEB_NPB_DAA,BET,2024-03-01,23365080.130187012
T,UEB_NPB_DAA,BET,2024-04-01,29265743.85096099
T,UEB_NPB_DAA,BET,2024-05-01,32325578.801215995
T,UEB_NPB_DAA,BET,2024-06-01,21581723.153769284
T,UEB_NPB_DAA,BET,2024-07-01,24010003.15001149
T,UEB_NPB_DAA,BET,2024-08-01,23968266.841558836
T,UEB_NPB_DAA,BET,2024-09-01,21368820.06847839
T,UEB_NPB_DAA,BET,2024-10-01,21268796.806628473
T,UEB_NPB_DAA,BET,2024-11-01,25388127.6936348
T,UEB_NPB_DAA,BET,2024-12-01,24970794.347617473
T,UEB_NPB_DAA,BET,2025-01-01,22891642.973547176
T,UEB_NPB_DAA,BET,2025-02-01,25683602.26968351
T,UEB_NPB_DAA,BET,2025-03-01,23237277.61094409
T,UEB_NPB_DAA,BET,2025-04-01,29881485.445690267
T,UEB_NPB_DAA,BET,2025-05-01,31967994.973497923
T,UEB_NPB_DAA,BET,2025-06-01,22138987.29088091
T,UEB_NPB_DAA,BET,2025-07-01,24547405.12889339
T,UEB_NPB_DAA,BET,2025-08-01,22986148.35351992
T,UEB_NPB_DAA,BET,2025-09-01,22297426.840987433
T,UEB_NPB_DAA,BET,2025-10-01,23405505.779550962
T,UEB_NPB_DAA,BET,2025-11-01,22306759.219348118
T,UEB_NPB_DAA,BET,2025-12-01,27485802.379964195
T,UEB_NPB_DAA,BET,2026-01-01,23197247.73472036
T,UEB_NPB_DAA,BET,2026-02-01,24075084.849444423
T,UEB_NPB_DAA,BET,2026-03-01,29920520.579091325
T,UEB_NPB_DAA,BET,2026-04-01,31411324.614086393
T,UEB_NPB_DAA,BET,2026-05-01,29571231.569164466
T,UEB_NPB_DAA,BPT,2022-01-01,2967.3831917711127
T,UEB_NPB_DAA,BPT,2022-02-01,2985.248990172672
T,UEB_NPB_DAA,BPT,2022-03-01,3140.144896671504
T,UEB_NPB_DAA,BPT,2022-04-01,2875.4712612970684
T,UEB_NPB_DAA,BPT,2022-05-01,3562.4720003225134
T,UEB_NPB_DAA,BPT,2022-06-01,2639.0154001175465
