NOGA,ADJUSTMENT,INDICATOR_KE,date,value
G-NxK,W,UTOT,2024-07-01,97.74
G-NxK,W,UTOT,2024-10-01,104.8
G-NxK,W,UTOT,2025-01-01,98.32
G-NxK,W,UTOT,2025-04-01,98.1
G-NxK,W,UTOT,2025-07-01,98.59
G-NxK,W,UTOT,2025-10-01,106.02
G-NxK,W,UTOT,2026-01-01,98.5
G-NxK,Y,UEXP,2021-01-01,103.12
G-NxK,Y,UEXP,2021-04-01,102.61
G-NxK,Y,UEXP,2021-07-01,98.61
G-NxK,Y,UEXP,2021-10-01,95.66
G-NxK,Y,UEXP,2022-01-01,121.52
G-NxK,Y,UEXP,2022-04-01,125.55
G-NxK,Y,UEXP,2022-07-01,124.29
G-NxK,Y,UEXP,2022-10-01,120.78
G-NxK,Y,UEXP,2023-01-01,112.15
G-NxK,Y,UEXP,2023-04-01,99.67
G-NxK,Y,UEXP,2023-07-01,93.99
G-NxK,Y,UEXP,2023-10-01,95.29
G-NxK,Y,UEXP,2024-01-01,89.7
G-NxK,Y,UEXP,2024-04-01,93.26
G-NxK,Y,UEXP,2024-07-01,88.29
G-NxK,Y,UEXP,2024-10-01,86.89
G-NxK,Y,UEXP,2025-01-01,90.76
G-NxK,Y,UEXP,2025-04-01,86.03
G-NxK,Y,UEXP,2025-07-01,87.83
G-NxK,Y,UEXP,2025-10-01,88.44
G-NxK,Y,UEXP,2026-01-01,88.95
G-NxK,Y,UINL,2021-01-01,100.88
G-NxK,Y,UINL,2021-04-01,99.92
G-NxK,Y,UINL,2021-07-01,99.5
G-NxK,Y,UINL,2021-10-01,99.7
G-NxK,Y,UINL,2022-01-01,111.49
G-NxK,Y,UINL,2022-04-01,110.59
G-NxK,Y,UINL,2022-07-01,112.31
G-NxK,Y,UINL,2022-10-01,112.06
G-NxK,Y,UINL,2023-01-01,111.03
G-NxK,Y,UINL,2023-04-01,109.73
G-NxK,Y,UINL,2023-07-01,107.43
G-NxK,Y,UINL,2023-10-01,108.33
G-NxK,Y,UINL,2024-01-01,105.84
G-NxK,Y,UINL,2024-04-01,106.45
G-NxK,Y,UINL,2024-07-01,105.74
G-NxK,Y,UINL,2024-10-01,105.98
G-NxK,Y,UINL,2025-01-01,106.16
G-NxK,Y,UINL,2025-04-01,107.02
G-NxK,Y,UINL,2025-07-01,106.97
G-NxK,Y,UINL,2025-10-01,105.84
G-NxK,Y,UINL,2026-01-01,106.28
G-NxK,Y,UTOT,2021-01-01,101.36
G-NxK,Y,UTOT,2021-04-01,101.66
G-NxK,Y,UTOT,2021-07-01,98.84
G-NxK,Y,UTOT,2021-10-01,98.14
G-NxK,Y,UTOT,2022-01-01,114.29
G-NxK,Y,UTOT,2022-04-01,116.49
G-NxK,Y,UTOT,2022-07-01,116.16
G-NxK,Y,UTOT,2022-10-01,114.62
G-NxK,Y,UTOT,2023-01-01,111.45
G-NxK,Y,UTOT,2023-04-01,104.87
G-NxK,Y,UTOT,2023-07-01,101.99
G-NxK,Y,UTOT,2023-10-01,103.29
G-NxK,Y,UTOT,2024-01-01,100.29
G-NxK,Y,UTOT,2024-04-01,101.96
G-NxK,Y,UTOT,2024-07-01,99.35
G-NxK,Y,UTOT,2024-10-01,99.21
G-NxK,Y,UTOT,2025-01-01,101.35
G-NxK,Y,UTOT,2025-04-01,98.96
G-NxK,Y,UTOT,2025-07-01,100.2
G-NxK,Y,UTOT,2025-10-01,100.51
G-NxK,Y,UTOT,2026-01-01,101.38
H,N,UEXP,2021-01-01,89.18
H,N,UEXP,2021-04-01,103.26
H,N,UEXP,2021-07-01,108.92
H,N,UEXP,2021-10-01,98.65
H,N,UEXP,2022-01-01,125.69
H,N,UEXP,2022-04-01,155.55
H,N,UEXP,2022-07-01,172.26
H,N,UEXP,2022-10-01,161.76
H,N,UEXP,2023-01-01,154.18
H,N,UEXP,2023-04-01,173.06
H,N,UEXP,2023-07-01,165.44
H,N,UEXP,2023-10-01,166.73
H,N,UEXP,2024-01-01,129.25
H,N,UEXP,2024-04-01,157.39
H,N,UEXP,2024-07-01,158.41
H,N,UEXP,2024-10-01,148.6
H,N,UEXP,2025-01-01,130.57
H,N,UEXP,2025-04-01,147.05
H,N,UEXP,2025-07-01,148.02
H,N,UEXP,2025-10-01,140.72
H,N,UEXP,2026-01-01,120
H,N,UINL,2021-01-01,91.64
H,N,UINL,2021-04-01,100.3
H,N,UINL,2021-07-01,100.92
H,N,UINL,2021-10-01,107.14
H,N,UINL,2022-01-01,105.33
H,N,UINL,2022-04-01,117.06
H,N,UINL,2022-07-01,118.72
H,N,UINL,2022-10-01,125.26
H,N,UINL,2023-01-01,116.85
H,N,UINL,2023-04-01,113.76
H,N,UINL,2023-07-01,117.11
H,N,UINL,2023-10-01,117.05
H,N,UINL,2024-01-01,115.96
H,N,UINL,2024-04-01,119.8
H,N,UINL,2024-07-01,116.88
H,N,UINL,2024-10-01,120.44
H,N,UINL,2025-01-01,110.42
H,N,UINL,2025-04-01,114.6
H,N,UINL,2025-07-01,113.69
H,N,UINL,2025-10-01,113.56
H,N,UINL,2026-01-01,116.01
H,N,UTOT,2021-01-01,92.11
H,N,UTOT,2021-04-01,101.11
H,N,UTOT,2021-07-01,101.86
H,N,UTOT,2021-10-01,104.92
H,N,UTOT,2022-01-01,108.79
H,N,UTOT,2022-04-01,122.33
H,N,UTOT,2022-07-01,125.4
H,N,UTOT,2022-10-01,128.64
H,N,UTOT,2023-01-01,122.6
H,N,UTOT,2023-04-01,121.64
H,N,UTOT,2023-07-01,122.73
H,N,UTOT,2023-10-01,123.08
H,N,UTOT,2024-01-01,117.32
H,N,UTOT,2024-04-01,124.44
H,N,UTOT,2024-07-01,121.44
H,N,UTOT,2024-10-01,123.11
H,N,UTOT,2025-01-01,112.82
H,N,UTOT,2025-04-01,118.51
H,N,UTOT,2025-07-01,116.81
H,N,UTOT,2025-10-01,115.99
H,N,UTOT,2026-01-01,115.85
H,W,UEXP,2021-01-01,88.7
H,W,UEXP,2021-04-01,103.78
H,W,UEXP,2021-07-01,109.01
H,W,UEXP,2021-10-01,98.5
H,W,UEXP,2022-01-01,124.51
H,W,UEXP,2022-04-01,156.31
H,W,UEXP,2022-07-01,173.09
H,W,UEXP,2022-10-01,162.76
H,W,UEXP,2023-01-01,152.52
H,W,UEXP,2023-04-01,174.1
H,W,UEXP,2023-07-01,166.9
H,W,UEXP,2023-10-01,168.34
H,W,UEXP,2024-01-01,133.72
H,W,UEXP,2024-04-01,158.02
H,W,UEXP,2024-07-01,159.11
H,W,UEXP,2024-10-01,149.39
H,W,UEXP,2025-01-01,130.28
H,W,UEXP,2025-04-01,148.11
H,W,UEXP,2025-07-01,148.65
H,W,UEXP,2025-10-01,141.43
H,W,UEXP,2026-01-01,119.7
H,W,UINL,2021-01-01,92.16
H,W,UINL,2021-04-01,100.36
H,W,UINL,2021-07-01,100.72
H,W,UINL,2021-10-01,106.76
H,W,UINL,2022-01-01,105.72
H,W,UINL,2022-04-01,117.12
H,W,UINL,2022-07-01,118.74
H,W,UINL,2022-10-01,125.36
H,W,UINL,2023-01-01,117.18
H,W,UINL,2023-04-01,113.87
H,W,UINL,2023-07-01,117.38
H,W,UINL,2023-10-01,117.39
H,W,UINL,2024-01-01,113.9
H,W,UINL,2024-04-01,119.75
H,W,UINL,2024-07-01,116.9
H,W,UINL,2024-10-01,120.54
H,W,UINL,2025-01-01,111.22
H,W,UINL,2025-04-01,114.78
H,W,UINL,2025-07-01,113.68
H,W,UINL,2025-10-01,113.64
H,W,UINL,2026-01-01,116.82
H,W,UTOT,2021-01-01,92.48
H,W,UTOT,2021-04-01,101.26
H,W,UTOT,2021-07-01,101.71
H,W,UTOT,2021-10-01,104.56
H,W,UTOT,2022-01-01,108.96
H,W,UTOT,2022-04-01,122.5
H,W,UTOT,2022-07-01,125.53
H,W,UTOT,2022-10-01,128.88
H,W,UTOT,2023-01-01,122.66
H,W,UTOT,2023-04-01,121.89
H,W,UTOT,2023-07-01,123.18
H,W,UTOT,2023-10-01,123.62
H,W,UTOT,2024-01-01,116.21
H,W,UTOT,2024-04-01,124.48
H,W,UTOT,2024-07-01,121.56
H,W,UTOT,2024-10-01,123.33
H,W,UTOT,2025-01-01,113.49
H,W,UTOT,2025-04-01,118.83
H,W,UTOT,2025-07-01,116.9
H,W,UTOT,2025-10-01,116.17
H,W,UTOT,2026-01-01,116.51
H,Y,UEXP,2021-01-01,99.75
H,Y,UEXP,2021-04-01,100.85
H,Y,UEXP,2021-07-01,101.95
H,Y,UEXP,2021-10-01,97.45
H,Y,UEXP,2022-01-01,139.92
H,Y,UEXP,2022-04-01,151.71
H,Y,UEXP,2022-07-01,162.09
H,Y,UEXP,2022-10-01,160.92
H,Y,UEXP,2023-01-01,171.82
H,Y,UEXP,2023-04-01,169.02
H,Y,UEXP,2023-07-01,156.52
H,Y,UEXP,2023-10-01,166.16
H,Y,UEXP,2024-01-01,152.03
H,Y,UEXP,2024-04-01,152.51
H,Y,UEXP,2024-07-01,149.52
H,Y,UEXP,2024-10-01,147.17
H,Y,UEXP,2025-01-01,147.78
H,Y,UEXP,2025-04-01,143.16
H,Y,UEXP,2025-07-01,139.86
H,Y,UEXP,2025-10-01,139.12
H,Y,UEXP,2026-01-01,135.81
H,Y,UINL,2021-01-01,96.45
H,Y,UINL,2021-04-01,99.38
H,Y,UINL,2021-07-01,100.17
H,Y,UINL,2021-10-01,104
H,Y,UINL,2022-01-01,110.61
H,Y,UINL,2022-04-01,115.93
H,Y,UINL,2022-07-01,118.08
H,Y,UINL,2022-10-01,122.12
H,Y,UINL,2023-01-01,122.64
H,Y,UINL,2023-04-01,112.61
H,Y,UINL,2023-07-01,116.68
H,Y,UINL,2023-10-01,114.51
H,Y,UINL,2024-01-01,119.18
H,Y,UINL,2024-04-01,118.48
H,Y,UINL,2024-07-01,116.12
H,Y,UINL,2024-10-01,117.72
H,Y,UINL,2025-01-01,116.33
H,Y,UINL,2025-04-01,113.55
H,Y,UINL,2025-07-01,112.81
H,Y,UINL,2025-10-01,111.17
H,Y,UINL,2026-01-01,122.09
H,Y,UTOT,2021-01-01,97.42
H,Y,UTOT,2021-04-01,99.42
H,Y,UTOT,2021-07-01,100.52
H,Y,UTOT,2021-10-01,102.64
H,Y,UTOT,2022-01-01,114.76
H,Y,UTOT,2022-04-01,120.2
H,Y,UTOT,2022-07-01,124.09
H,Y,UTOT,2022-10-01,126.48
H,Y,UTOT,2023-01-01,129.3
H,Y,UTOT,2023-04-01,119.49
H,Y,UTOT,2023-07-01,121.75
H,Y,UTOT,2023-10-01,121.33
H,Y,UTOT,2024-01-01,122.6
H,Y,UTOT,2024-04-01,122.05
H,Y,UTOT,2024-07-01,120.15
H,Y,UTOT,2024-10-01,121.06
H,Y,UTOT,2025-01-01,119.74
H,Y,UTOT,2025-04-01,116.55
H,Y,UTOT,2025-07-01,115.51
H,Y,UTOT,2025-10-01,114.03
H,Y,UTOT,2026-01-01,122.91
I,N,UINL,2021-01-01,85.88
I,N,UINL,2021-04-01,99.98
I,N,UINL,2021-07-01,116.13
I,N,UINL,2021-10-01,98
I,N,UINL,2022-01-01,117.39
I,N,UINL,2022-04-01,140.09
I,N,UINL,2022-07-01,161.13
I,N,UINL,2022-10-01,140.1
I,N,UINL,2023-01-01,141.31
I,N,UINL,2023-04-01,153.47
I,N,UINL,2023-07-01,173.33
I,N,UINL,2023-10-01,146.34
I,N,UINL,2024-01-01,147.23
I,N,UINL,2024-04-01,157.63
I,N,UINL,2024-07-01,172.78
I,N,UINL,2024-10-01,148
I,N,UINL,2025-01-01,147.2
I,N,UINL,2025-04-01,157.87
I,N,UINL,2025-07-01,178.14
I,N,UINL,2025-10-01,151.79
I,N,UINL,2026-01-01,147.47
I,N,UTOT,2021-01-01,85.88
I,N,UTOT,2021-04-01,99.98
I,N,UTOT,2021-07-01,116.13
I,N,UTOT,2021-10-01,98
I,N,UTOT,2022-01-01,117.39
I,N,UTOT,2022-04-01,140.09
I,N,UTOT,2022-07-01,161.13
I,N,UTOT,2022-10-01,140.1
I,N,UTOT,2023-01-01,141.31
I,N,UTOT,2023-04-01,153.47
I,N,UTOT,2023-07-01,173.33
I,N,UTOT,2023-10-01,146.34
I,N,UTOT,2024-01-01,147.23
I,N,UTOT,2024-04-01,157.63
I,N,UTOT,2024-07-01,172.78
I,N,UTOT,2024-10-01,148
I,N,UTOT,2025-01-01,147.2
I,N,UTOT,2025-04-01,157.87
I,N,UTOT,2025-07-01,178.14
I,N,UTOT,2025-10-01,151.79
I,N,UTOT,2026-01-01,147.47
I,W,UINL,2021-01-01,86.13
I,W,UINL,2021-04-01,100.29
I,W,UINL,2021-07-01,116.04
I,W,UINL,2021-10-01,97.54
I,W,UINL,2022-01-01,118.33
I,W,UINL,2022-04-01,140.05
I,W,UINL,2022-07-01,160.67
I,W,UINL,2022-10-01,139.39
I,W,UINL,2023-01-01,141.72
I,W,UINL,2023-04-01,153.41
I,W,UINL,2023-07-01,172.88
I,W,UINL,2023-10-01,146.78
I,W,UINL,2024-01-01,145.56
I,W,UINL,2024-04-01,158.04
I,W,UINL,2024-07-01,172.2
I,W,UINL,2024-10-01,147.84
I,W,UINL,2025-01-01,147.36
I,W,UINL,2025-04-01,157.75
I,W,UINL,2025-07-01,179.01
I,W,UINL,2025-10-01,152.01
I,W,UINL,2026-01-01,147.92
I,W,UTOT,2021-01-01,86.13
I,W,UTOT,2021-04-01,100.29
I,W,UTOT,2021-07-01,116.04
I,W,UTOT,2021-10-01,97.54
I,W,UTOT,2022-01-01,118.33
I,W,UTOT,2022-04-01,140.05
I,W,UTOT,2022-07-01,160.67
I,W,UTOT,2022-10-01,139.39
I,W,UTOT,2023-01-01,141.72
I,W,UTOT,2023-04-01,153.41
I,W,UTOT,2023-07-01,172.88
I,W,UTOT,2023-10-01,146.78
I,W,UTOT,2024-01-01,145.56
I,W,UTOT,2024-04-01,158.04
