NOGA,ADJUSTMENT,INDICATOR_KE,date,value
41,W,PTOT,2019-10-01,109.38
41,W,PTOT,2020-01-01,84.51
41,W,PTOT,2020-04-01,104.54
41,W,PTOT,2020-07-01,101.35
41,W,PTOT,2020-10-01,107.14
41,W,PTOT,2021-01-01,85.88
41,W,PTOT,2021-04-01,107.83
41,W,PTOT,2021-07-01,102.18
41,W,PTOT,2021-10-01,104.1
41,W,PTOT,2022-01-01,85.16
41,W,PTOT,2022-04-01,107.64
41,W,PTOT,2022-07-01,94.72
41,W,PTOT,2022-10-01,98.82
41,W,PTOT,2023-01-01,80.67
41,W,PTOT,2023-04-01,100.56
41,W,PTOT,2023-07-01,86.1
41,W,PTOT,2023-10-01,89.89
41,W,PTOT,2024-01-01,78.81
41,W,PTOT,2024-04-01,98.89
41,W,PTOT,2024-07-01,90.42
41,W,PTOT,2024-10-01,89.1
41,W,PTOT,2025-01-01,81.86
41,W,PTOT,2025-04-01,100.17
41,W,PTOT,2025-07-01,84.91
41,W,PTOT,2025-10-01,99.66
41,W,PTOT,2026-01-01,84.57
41,W,PTOT,2026-04-01,104.46
41,W,UINL,2010-10-01,97.78
41,W,UINL,2011-01-01,77.32
41,W,UINL,2011-04-01,99.7
41,W,UINL,2011-07-01,102.84
41,W,UINL,2011-10-01,104.35
41,W,UINL,2012-01-01,72.64
41,W,UINL,2012-04-01,101.33
41,W,UINL,2012-07-01,107.67
41,W,UINL,2012-10-01,110.74
41,W,UINL,2013-01-01,74.92
41,W,UINL,2013-04-01,105.06
41,W,UINL,2013-07-01,106.21
41,W,UINL,2013-10-01,113.67
41,W,UINL,2014-01-01,88.02
41,W,UINL,2014-04-01,108.3
41,W,UINL,2014-07-01,114.79
41,W,UINL,2014-10-01,114.4
41,W,UINL,2015-01-01,81.26
41,W,UINL,2015-04-01,105.25
41,W,UINL,2015-07-01,106.25
41,W,UINL,2015-10-01,106.29
41,W,UINL,2016-01-01,79.37
41,W,UINL,2016-04-01,102.6
41,W,UINL,2016-07-01,104.5
41,W,UINL,2016-10-01,106.31
41,W,UINL,2017-01-01,78.85
41,W,UINL,2017-04-01,106.97
41,W,UINL,2017-07-01,104.9
41,W,UINL,2017-10-01,106.62
41,W,UINL,2018-01-01,81.82
41,W,UINL,2018-04-01,112.02
41,W,UINL,2018-07-01,103.76
41,W,UINL,2018-10-01,105.14
41,W,UINL,2019-01-01,80.21
41,W,UINL,2019-04-01,106.77
41,W,UINL,2019-07-01,104.13
41,W,UINL,2019-10-01,105.43
41,W,UINL,2020-01-01,84.04
41,W,UINL,2020-04-01,100.72
41,W,UINL,2020-07-01,98.25
41,W,UINL,2020-10-01,103.9
41,W,UINL,2021-01-01,82.38
41,W,UINL,2021-04-01,106.62
41,W,UINL,2021-07-01,103.4
41,W,UINL,2021-10-01,107.6
41,W,UINL,2022-01-01,88.18
41,W,UINL,2022-04-01,115.94
41,W,UINL,2022-07-01,103.49
41,W,UINL,2022-10-01,109.33
41,W,UINL,2023-01-01,87.99
