fuel,date,value
DH,2008-11-01,0
DH,2008-12-01,0
DH,2009-01-01,0
DH,2009-02-01,0
DH,2009-03-01,0
DH,2009-04-01,1
DH,2009-05-01,0
DH,2009-06-01,0
DH,2009-07-01,0
DH,2009-08-01,0
DH,2009-09-01,0
DH,2009-10-01,0
DH,2009-11-01,0
DH,2009-12-01,0
DH,2010-01-01,0
DH,2010-02-01,0
DH,2010-03-01,0
DH,2010-04-01,0
DH,2010-05-01,0
DH,2010-06-01,0
DH,2010-07-01,0
DH,2010-08-01,0
DH,2010-09-01,0
DH,2010-10-01,0
DH,2010-11-01,2
DH,2010-12-01,0
DH,2011-01-01,0
DH,2011-02-01,1
DH,2011-03-01,0
DH,2011-04-01,0
DH,2011-05-01,0
DH,2011-06-01,0
DH,2011-07-01,0
DH,2011-08-01,0
DH,2011-09-01,0
DH,2011-10-01,1
DH,2011-11-01,8
DH,2011-12-01,4
DH,2012-01-01,3
DH,2012-02-01,12
DH,2012-03-01,78
DH,2012-04-01,66
DH,2012-05-01,99
DH,2012-06-01,116
DH,2012-07-01,120
DH,2012-08-01,148
DH,2012-09-01,87
DH,2012-10-01,99
DH,2012-11-01,83
DH,2012-12-01,44
DH,2013-01-01,63
DH,2013-02-01,57
DH,2013-03-01,67
DH,2013-04-01,65
DH,2013-05-01,60
DH,2013-06-01,58
DH,2013-07-01,105
DH,2013-08-01,44
DH,2013-09-01,52
DH,2013-10-01,42
DH,2013-11-01,40
DH,2013-12-01,34
DH,2014-01-01,48
DH,2014-02-01,47
DH,2014-03-01,42
DH,2014-04-01,56
DH,2014-05-01,43
DH,2014-06-01,35
DH,2014-07-01,24
DH,2014-08-01,21
DH,2014-09-01,46
DH,2014-10-01,51
DH,2014-11-01,43
DH,2014-12-01,55
DH,2015-01-01,47
DH,2015-02-01,32
DH,2015-03-01,61
DH,2015-04-01,83
DH,2015-05-01,92
DH,2015-06-01,86
DH,2015-07-01,106
DH,2015-08-01,47
DH,2015-09-01,63
DH,2015-10-01,76
DH,2015-11-01,55
DH,2015-12-01,75
DH,2016-01-01,52
DH,2016-02-01,62
DH,2016-03-01,60
DH,2016-04-01,66
DH,2016-05-01,50
DH,2016-06-01,48
DH,2016-07-01,36
DH,2016-08-01,19
DH,2016-09-01,34
DH,2016-10-01,24
