canton,fuel,date,value
1,DH,2009-12-01,0
1,DH,2010-01-01,0
1,DH,2010-02-01,0
1,DH,2010-03-01,0
1,DH,2010-04-01,0
1,DH,2010-05-01,0
1,DH,2010-06-01,0
1,DH,2010-07-01,0
1,DH,2010-08-01,0
1,DH,2010-09-01,0
1,DH,2010-10-01,0
1,DH,2010-11-01,0
1,DH,2010-12-01,0
1,DH,2011-01-01,0
1,DH,2011-02-01,0
1,DH,2011-03-01,0
1,DH,2011-04-01,0
1,DH,2011-05-01,0
1,DH,2011-06-01,0
1,DH,2011-07-01,0
1,DH,2011-08-01,0
1,DH,2011-09-01,0
1,DH,2011-10-01,0
1,DH,2011-11-01,0
1,DH,2011-12-01,0
1,DH,2012-01-01,0
1,DH,2012-02-01,5
1,DH,2012-03-01,10
1,DH,2012-04-01,10
1,DH,2012-05-01,13
1,DH,2012-06-01,16
1,DH,2012-07-01,22
1,DH,2012-08-01,29
1,DH,2012-09-01,15
1,DH,2012-10-01,19
1,DH,2012-11-01,11
1,DH,2012-12-01,10
1,DH,2013-01-01,11
1,DH,2013-02-01,15
1,DH,2013-03-01,10
1,DH,2013-04-01,10
1,DH,2013-05-01,8
1,DH,2013-06-01,5
1,DH,2013-07-01,57
1,DH,2013-08-01,11
1,DH,2013-09-01,8
1,DH,2013-10-01,10
1,DH,2013-11-01,3
1,DH,2013-12-01,6
1,DH,2014-01-01,6
1,DH,2014-02-01,13
1,DH,2014-03-01,9
1,DH,2014-04-01,9
1,DH,2014-05-01,6
1,DH,2014-06-01,8
1,DH,2014-07-01,6
1,DH,2014-08-01,6
1,DH,2014-09-01,9
1,DH,2014-10-01,9
1,DH,2014-11-01,13
1,DH,2014-12-01,14
1,DH,2015-01-01,8
1,DH,2015-02-01,4
1,DH,2015-03-01,15
1,DH,2015-04-01,11
1,DH,2015-05-01,10
1,DH,2015-06-01,12
1,DH,2015-07-01,19
1,DH,2015-08-01,6
1,DH,2015-09-01,12
1,DH,2015-10-01,12
1,DH,2015-11-01,9
1,DH,2015-12-01,18
1,DH,2016-01-01,11
1,DH,2016-02-01,9
1,DH,2016-03-01,14
1,DH,2016-04-01,10
1,DH,2016-05-01,11
1,DH,2016-06-01,9
1,DH,2016-07-01,7
1,DH,2016-08-01,7
1,DH,2016-09-01,7
1,DH,2016-10-01,3
1,DH,2016-11-01,2
1,DH,2016-12-01,1
1,DH,2017-01-01,2
1,DH,2017-02-01,2
1,DH,2017-03-01,3
1,DH,2017-04-01,2
1,DH,2017-05-01,13
1,DH,2017-06-01,5
1,DH,2017-07-01,2
1,DH,2017-08-01,7
1,DH,2017-09-01,5
1,DH,2017-10-01,1
1,DH,2017-11-01,8
1,DH,2017-12-01,2
1,DH,2018-01-01,2
1,DH,2018-02-01,1
1,DH,2018-03-01,6
1,DH,2018-04-01,4
1,DH,2018-05-01,0
1,DH,2018-06-01,4
1,DH,2018-07-01,13
1,DH,2018-08-01,15
1,DH,2018-09-01,20
1,DH,2018-10-01,29
1,DH,2018-11-01,26
1,DH,2018-12-01,37
1,DH,2019-01-01,25
1,DH,2019-02-01,16
1,DH,2019-03-01,38
1,DH,2019-04-01,23
1,DH,2019-05-01,26
1,DH,2019-06-01,41
1,DH,2019-07-01,92
1,DH,2019-08-01,44
1,DH,2019-09-01,67
1,DH,2019-10-01,99
1,DH,2019-11-01,81
1,DH,2019-12-01,125
1,DH,2020-01-01,62
1,DH,2020-02-01,41
1,DH,2020-03-01,58
1,DH,2020-04-01,36
1,DH,2020-05-01,40
1,DH,2020-06-01,79
1,DH,2020-07-01,91
1,DH,2020-08-01,80
1,DH,2020-09-01,92
1,DH,2020-10-01,147
1,DH,2020-11-01,122
1,DH,2020-12-01,210
1,DH,2021-01-01,139
1,DH,2021-02-01,133
1,DH,2021-03-01,218
1,DH,2021-04-01,201
1,DH,2021-05-01,182
1,DH,2021-06-01,215
1,DH,2021-07-01,196
1,DH,2021-08-01,152
1,DH,2021-09-01,185
1,DH,2021-10-01,107
1,DH,2021-11-01,152
1,DH,2021-12-01,178
1,DH,2022-01-01,134
1,DH,2022-02-01,145
1,DH,2022-03-01,199
1,DH,2022-04-01,140
1,DH,2022-05-01,215
1,DH,2022-06-01,165
1,DH,2022-07-01,172
1,DH,2022-08-01,216
1,DH,2022-09-01,240
1,DH,2022-10-01,191
1,DH,2022-11-01,267
1,DH,2022-12-01,230
1,DH,2023-01-01,195
1,DH,2023-02-01,183
1,DH,2023-03-01,229
1,DH,2023-04-01,160
1,DH,2023-05-01,172
1,DH,2023-06-01,185
1,DH,2023-07-01,147
1,DH,2023-08-01,213
1,DH,2023-09-01,221
1,DH,2023-10-01,175
1,DH,2023-11-01,233
1,DH,2023-12-01,221
1,DH,2024-01-01,137
1,DH,2024-02-01,164
1,DH,2024-03-01,224
1,DH,2024-04-01,174
1,DH,2024-05-01,198
1,DH,2024-06-01,183
1,DH,2024-07-01,160
1,DH,2024-08-01,157
1,DH,2024-09-01,253
1,DH,2024-10-01,206
1,DH,2024-11-01,216
1,DH,2024-12-01,268
1,DH,2025-01-01,194
1,DH,2025-02-01,129
1,DH,2025-03-01,199
1,DH,2025-04-01,197
1,DH,2025-05-01,172
1,DH,2025-06-01,185
1,DH,2025-07-01,158
1,DH,2025-08-01,153
1,DH,2025-09-01,176
1,DH,2025-10-01,174
1,DH,2025-11-01,181
1,DH,2025-12-01,189
1,DH,2026-01-01,123
1,DH,2026-02-01,100
1,DH,2026-03-01,191
1,DH,2026-04-01,117
1,DH,2026-05-01,159
1,DH,2026-06-01,185
1,DH,2026-07-01,118
1,DH,2026-08-01,104
1,EL,2005-01-01,0
1,EL,2005-02-01,0
1,EL,2005-03-01,0
1,EL,2005-04-01,0
1,EL,2005-05-01,0
1,EL,2005-06-01,0
1,EL,2005-07-01,0
1,EL,2005-08-01,0
1,EL,2005-09-01,0
1,EL,2005-10-01,0
1,EL,2005-11-01,0
1,EL,2005-12-01,0
1,EL,2006-01-01,1
1,EL,2006-02-01,0
1,EL,2006-03-01,0
1,EL,2006-04-01,0
1,EL,2006-05-01,0
1,EL,2006-06-01,0
1,EL,2006-07-01,0
1,EL,2006-08-01,0
1,EL,2006-09-01,0
1,EL,2006-10-01,0
1,EL,2006-11-01,0
1,EL,2006-12-01,1
1,EL,2007-01-01,0
1,EL,2007-02-01,0
1,EL,2007-03-01,0
1,EL,2007-04-01,0
1,EL,2007-05-01,0
1,EL,2007-06-01,0
1,EL,2007-07-01,0
1,EL,2007-08-01,0
1,EL,2007-09-01,0
1,EL,2007-10-01,0
1,EL,2007-11-01,0
1,EL,2007-12-01,0
1,EL,2008-01-01,0
1,EL,2008-02-01,0
1,EL,2008-03-01,0
1,EL,2008-04-01,0
1,EL,2008-05-01,0
1,EL,2008-06-01,0
1,EL,2008-07-01,0
1,EL,2008-08-01,0
1,EL,2008-09-01,0
1,EL,2008-10-01,1
1,EL,2008-11-01,0
1,EL,2008-12-01,3
1,EL,2009-01-01,0
1,EL,2009-02-01,1
1,EL,2009-03-01,0
1,EL,2009-04-01,0
1,EL,2009-05-01,0
1,EL,2009-06-01,1
1,EL,2009-07-01,2
1,EL,2009-08-01,1
1,EL,2009-09-01,0
1,EL,2009-10-01,7
1,EL,2009-11-01,0
1,EL,2009-12-01,3
1,EL,2010-01-01,4
1,EL,2010-02-01,1
1,EL,2010-03-01,4
1,EL,2010-04-01,2
1,EL,2010-05-01,1
1,EL,2010-06-01,56
1,EL,2010-07-01,11
1,EL,2010-08-01,14
1,EL,2010-09-01,4
1,EL,2010-10-01,8
1,EL,2010-11-01,8
1,EL,2010-12-01,12
1,EL,2011-01-01,20
1,EL,2011-02-01,12
1,EL,2011-03-01,14
1,EL,2011-04-01,13
1,EL,2011-05-01,8
1,EL,2011-06-01,7
1,EL,2011-07-01,9
1,EL,2011-08-01,10
1,EL,2011-09-01,9
1,EL,2011-10-01,4
1,EL,2011-11-01,18
