Tourismusregion,date,value
11,2023-08-01,501435
11,2023-09-01,407356
11,2023-10-01,269227
11,2023-11-01,132245
11,2023-12-01,383668
11,2024-01-01,471006
11,2024-02-01,570741
11,2024-03-01,475165
11,2024-04-01,244883
11,2024-05-01,191496
11,2024-06-01,316370
11,2024-07-01,476336
11,2024-08-01,512200
11,2024-09-01,384379
11,2024-10-01,247549
11,2024-11-01,143828
11,2024-12-01,401171
11,2025-01-01,474701
11,2025-02-01,540321
11,2025-03-01,471082
11,2025-04-01,259845
11,2025-05-01,189040
11,2025-06-01,331414
11,2025-07-01,508047
11,2025-08-01,532205
11,2025-09-01,394569
11,2025-10-01,261317
11,2025-11-01,138397
11,2025-12-01,431904
11,2026-01-01,477637
11,2026-02-01,545321
11,2026-03-01,449305
11,2026-04-01,263629
11,2026-05-01,190921
12,2005-01-01,51102
12,2005-02-01,58849
12,2005-03-01,145793
12,2005-04-01,204035
12,2005-05-01,291886
12,2005-06-01,291512
12,2005-07-01,389885
12,2005-08-01,388323
12,2005-09-01,310031
12,2005-10-01,261721
12,2005-11-01,81746
12,2005-12-01,64113
12,2006-01-01,51987
12,2006-02-01,63707
12,2006-03-01,122747
12,2006-04-01,279593
12,2006-05-01,294939
12,2006-06-01,306971
12,2006-07-01,386483
12,2006-08-01,412254
12,2006-09-01,335124
12,2006-10-01,281290
12,2006-11-01,96012
12,2006-12-01,75542
12,2007-01-01,60734
12,2007-02-01,73204
12,2007-03-01,152742
12,2007-04-01,258454
12,2007-05-01,281880
12,2007-06-01,303484
12,2007-07-01,412480
12,2007-08-01,396367
12,2007-09-01,343272
12,2007-10-01,280272
12,2007-11-01,110892
12,2007-12-01,81870
12,2008-01-01,63006
12,2008-02-01,76793
12,2008-03-01,171873
12,2008-04-01,230045
12,2008-05-01,295309
12,2008-06-01,278835
12,2008-07-01,424227
12,2008-08-01,392897
12,2008-09-01,313921
12,2008-10-01,259136
12,2008-11-01,87937
12,2008-12-01,73114
12,2009-01-01,57896
12,2009-02-01,67588
12,2009-03-01,134766
12,2009-04-01,230935
12,2009-05-01,279376
12,2009-06-01,279123
12,2009-07-01,413547
12,2009-08-01,380190
12,2009-09-01,319589
12,2009-10-01,283419
12,2009-11-01,89135
12,2009-12-01,72028
12,2010-01-01,59744
12,2010-02-01,65868
12,2010-03-01,126367
12,2010-04-01,235685
12,2010-05-01,265073
12,2010-06-01,272619
12,2010-07-01,402542
12,2010-08-01,371755
12,2010-09-01,294443
12,2010-10-01,244097
12,2010-11-01,83236
12,2010-12-01,65735
12,2011-01-01,62917
12,2011-02-01,70266
12,2011-03-01,128413
12,2011-04-01,237464
12,2011-05-01,231620
12,2011-06-01,277777
12,2011-07-01,388185
12,2011-08-01,322622
12,2011-09-01,267693
12,2011-10-01,236204
12,2011-11-01,80626
12,2011-12-01,68316
12,2012-01-01,62017
12,2012-02-01,67821
12,2012-03-01,136212
12,2012-04-01,206134
12,2012-05-01,230802
12,2012-06-01,247858
12,2012-07-01,352781
12,2012-08-01,328827
12,2012-09-01,275650
12,2012-10-01,226233
12,2012-11-01,89521
12,2012-12-01,76167
12,2013-01-01,68670
12,2013-02-01,65056
12,2013-03-01,141054
12,2013-04-01,192557
12,2013-05-01,249713
12,2013-06-01,281751
12,2013-07-01,367374
12,2013-08-01,356490
12,2013-09-01,291228
12,2013-10-01,224221
12,2013-11-01,92995
12,2013-12-01,74325
12,2014-01-01,64431
12,2014-02-01,66264
12,2014-03-01,121869
12,2014-04-01,214531
12,2014-05-01,243957
12,2014-06-01,256053
12,2014-07-01,338658
12,2014-08-01,355150
12,2014-09-01,278325
12,2014-10-01,212159
12,2014-11-01,81508
12,2014-12-01,80134
12,2015-01-01,63411
12,2015-02-01,63843
12,2015-03-01,113527
12,2015-04-01,206467
12,2015-05-01,230327
12,2015-06-01,239293
12,2015-07-01,322748
12,2015-08-01,310163
12,2015-09-01,258336
12,2015-10-01,209934
12,2015-11-01,86698
12,2015-12-01,75598
12,2016-01-01,59668
12,2016-02-01,65595
12,2016-03-01,134830
12,2016-04-01,183742
12,2016-05-01,244764
12,2016-06-01,237115
12,2016-07-01,352725
12,2016-08-01,340162
12,2016-09-01,271322
12,2016-10-01,230325
12,2016-11-01,83575
12,2016-12-01,76516
12,2017-01-01,61162
12,2017-02-01,64817
12,2017-03-01,124884
12,2017-04-01,251233
12,2017-05-01,233773
12,2017-06-01,271863
12,2017-07-01,375617
12,2017-08-01,346450
12,2017-09-01,294384
12,2017-10-01,267758
12,2017-11-01,88832
12,2017-12-01,74326
12,2018-01-01,59195
12,2018-02-01,60548
12,2018-03-01,119128
12,2018-04-01,198851
12,2018-05-01,234259
12,2018-06-01,266456
12,2018-07-01,349549
12,2018-08-01,328736
12,2018-09-01,274066
12,2018-10-01,221916
12,2018-11-01,81174
12,2018-12-01,76923
12,2019-01-01,59815
12,2019-02-01,62231
12,2019-03-01,125255
12,2019-04-01,216468
12,2019-05-01,230301
12,2019-06-01,267747
12,2019-07-01,344010
12,2019-08-01,323909
12,2019-09-01,278885
12,2019-10-01,237825
12,2019-11-01,81176
12,2019-12-01,81896
12,2020-01-01,63239
12,2020-02-01,71437
12,2020-03-01,51628
12,2020-04-01,15620
12,2020-05-01,64784
12,2020-06-01,182757
12,2020-07-01,395764
12,2020-08-01,345742
12,2020-09-01,330213
12,2020-10-01,288112
12,2020-11-01,80321
12,2020-12-01,44056
12,2021-01-01,33159
12,2021-02-01,61423
12,2021-03-01,153572
12,2021-04-01,337479
12,2021-05-01,364957
12,2021-06-01,327221
12,2021-07-01,429809
12,2021-08-01,427372
12,2021-09-01,325513
12,2021-10-01,305699
12,2021-11-01,91470
12,2021-12-01,76771
12,2022-01-01,58347
12,2022-02-01,90852
12,2022-03-01,138580
12,2022-04-01,257273
12,2022-05-01,260259
12,2022-06-01,295578
12,2022-07-01,377533
12,2022-08-01,358490
12,2022-09-01,297658
12,2022-10-01,258163
12,2022-11-01,85640
12,2022-12-01,76870
12,2023-01-01,61606
12,2023-02-01,81603
12,2023-03-01,143176
12,2023-04-01,254964
12,2023-05-01,248204
12,2023-06-01,279723
12,2023-07-01,359185
12,2023-08-01,341846
12,2023-09-01,280992
12,2023-10-01,226312
12,2023-11-01,94515
12,2023-12-01,85710
12,2024-01-01,60763
12,2024-02-01,76553
12,2024-03-01,135089
12,2024-04-01,218002
12,2024-05-01,251516
12,2024-06-01,273097
12,2024-07-01,347880
12,2024-08-01,339868
12,2024-09-01,291455
12,2024-10-01,228846
12,2024-11-01,105376
12,2024-12-01,92356
12,2025-01-01,62270
12,2025-02-01,74016
12,2025-03-01,128873
12,2025-04-01,214064
12,2025-05-01,260064
12,2025-06-01,286139
12,2025-07-01,394389
12,2025-08-01,349646
12,2025-09-01,288545
12,2025-10-01,252495
12,2025-11-01,97155
12,2025-12-01,102423
12,2026-01-01,65907
12,2026-02-01,83998
12,2026-03-01,133788
12,2026-04-01,242649
12,2026-05-01,267794
13,2005-01-01,15871
13,2005-02-01,18601
13,2005-03-01,27481
13,2005-04-01,26152
13,2005-05-01,30805
13,2005-06-01,35460
13,2005-07-01,42023
13,2005-08-01,41100
13,2005-09-01,34487
13,2005-10-01,29993
13,2005-11-01,24079
13,2005-12-01,23444
13,2006-01-01,16305
13,2006-02-01,20030
13,2006-03-01,24007
13,2006-04-01,25481
13,2006-05-01,33793
13,2006-06-01,38704
13,2006-07-01,46170
13,2006-08-01,43082
13,2006-09-01,38366
13,2006-10-01,31408
13,2006-11-01,23093
13,2006-12-01,19510
13,2007-01-01,18701
13,2007-02-01,20087
13,2007-03-01,25439
13,2007-04-01,26876
13,2007-05-01,34581
13,2007-06-01,39007
13,2007-07-01,48732
13,2007-08-01,48138
13,2007-09-01,40854
13,2007-10-01,33305
13,2007-11-01,27152
13,2007-12-01,23238
13,2008-01-01,20717
13,2008-02-01,24160
13,2008-03-01,28582
13,2008-04-01,28908
13,2008-05-01,37516
13,2008-06-01,40436
13,2008-07-01,50499
13,2008-08-01,49941
13,2008-09-01,42395
13,2008-10-01,33582
13,2008-11-01,24457
13,2008-12-01,22568
13,2009-01-01,19771
13,2009-02-01,24611
13,2009-03-01,25373
13,2009-04-01,28577
13,2009-05-01,37305
13,2009-06-01,36187
13,2009-07-01,48165
13,2009-08-01,49152
13,2009-09-01,41704
13,2009-10-01,34946
13,2009-11-01,24400
13,2009-12-01,22706
13,2010-01-01,20088
13,2010-02-01,23916
13,2010-03-01,26110
13,2010-04-01,28638
13,2010-05-01,37201
13,2010-06-01,38844
13,2010-07-01,48381
13,2010-08-01,48180
13,2010-09-01,43789
13,2010-10-01,37638
13,2010-11-01,26981
13,2010-12-01,23330
13,2011-01-01,23964
13,2011-02-01,25344
13,2011-03-01,30162
13,2011-04-01,31069
13,2011-05-01,36833
13,2011-06-01,43995
13,2011-07-01,51021
13,2011-08-01,49169
13,2011-09-01,45344
13,2011-10-01,39184
13,2011-11-01,30162
13,2011-12-01,24297
13,2012-01-01,26333
13,2012-02-01,30955
13,2012-03-01,32229
13,2012-04-01,34341
13,2012-05-01,43146
13,2012-06-01,44771
13,2012-07-01,49350
13,2012-08-01,52544
13,2012-09-01,47145
13,2012-10-01,39036
13,2012-11-01,31164
13,2012-12-01,25820
13,2013-01-01,25696
13,2013-02-01,31220
13,2013-03-01,35234
13,2013-04-01,36607
13,2013-05-01,41942
13,2013-06-01,48601
13,2013-07-01,50019
13,2013-08-01,54998
13,2013-09-01,47676
13,2013-10-01,42220
13,2013-11-01,32219
13,2013-12-01,26965
13,2014-01-01,25470
13,2014-02-01,29150
13,2014-03-01,31875
13,2014-04-01,34711
13,2014-05-01,44968
13,2014-06-01,43497
13,2014-07-01,50045
13,2014-08-01,56416
13,2014-09-01,49489
13,2014-10-01,41416
13,2014-11-01,33648
13,2014-12-01,29121
13,2015-01-01,25733
13,2015-02-01,29982
13,2015-03-01,33178
13,2015-04-01,31792
13,2015-05-01,42901
13,2015-06-01,42228
13,2015-07-01,49345
13,2015-08-01,50866
13,2015-09-01,46881
13,2015-10-01,41912
13,2015-11-01,31083
13,2015-12-01,25967
13,2016-01-01,25055
13,2016-02-01,28847
13,2016-03-01,32148
