Offene Stellen,Wirtschaftsabteilung,date,value
1,28,2004-07-01,725
1,28,2004-10-01,740
1,28,2005-01-01,794
1,28,2005-04-01,884
1,28,2005-07-01,879
1,28,2005-10-01,894
1,28,2006-01-01,1184
1,28,2006-04-01,1353
1,28,2006-07-01,1462
1,28,2006-10-01,1580
1,28,2007-01-01,1970
1,28,2007-04-01,2328
1,28,2007-07-01,2249
1,28,2007-10-01,2363
1,28,2008-01-01,2629
1,28,2008-04-01,2310
1,28,2008-07-01,2144
1,28,2008-10-01,1188
1,28,2009-01-01,809
1,28,2009-04-01,724
1,28,2009-07-01,715
1,28,2009-10-01,726
1,28,2010-01-01,1039
1,28,2010-04-01,1247
1,28,2010-07-01,1358
1,28,2010-10-01,1543
1,28,2011-01-01,1870
1,28,2011-04-01,1810
1,28,2011-07-01,1350
1,28,2011-10-01,1230
1,28,2012-01-01,1414
1,28,2012-04-01,1335
1,28,2012-07-01,1390
1,28,2012-10-01,1044
1,28,2013-01-01,1175
1,28,2013-04-01,1223
1,28,2013-07-01,1082
1,28,2013-10-01,1119
1,28,2014-01-01,1357
1,28,2014-04-01,1311
1,28,2014-07-01,1181
1,28,2014-10-01,1208
1,28,2015-01-01,1002
1,28,2015-04-01,986
1,28,2015-07-01,1036
1,28,2015-10-01,1056
1,28,2016-01-01,1228
1,28,2016-04-01,1315
1,28,2016-07-01,1396
1,28,2016-10-01,1363
1,28,2017-01-01,1241
1,28,2017-04-01,1648
1,28,2017-07-01,1737
1,28,2017-10-01,1764
1,28,2018-01-01,1919
1,28,2018-04-01,2214
1,28,2018-07-01,2240
1,28,2018-10-01,2146
1,28,2019-01-01,2215
1,28,2019-04-01,1947
1,28,2019-07-01,1634
1,28,2019-10-01,1778
1,28,2020-01-01,1467
1,28,2020-04-01,1074
1,28,2020-07-01,1093
1,28,2020-10-01,1259
1,28,2021-01-01,1631
1,28,2021-04-01,2013
1,28,2021-07-01,2166
1,28,2021-10-01,2319
1,28,2022-01-01,2845
1,28,2022-04-01,2872
1,28,2022-07-01,2923
1,28,2022-10-01,2808
1,28,2023-01-01,3163
1,28,2023-04-01,3267
1,28,2023-07-01,3048
1,28,2023-10-01,2617
1,28,2024-01-01,2779
1,28,2024-04-01,2145
1,28,2024-07-01,2018
1,28,2024-10-01,2030
1,28,2025-01-01,1935
1,28,2025-04-01,1864
1,28,2025-07-01,1927
1,28,2025-10-01,1490
1,28,2026-01-01,1998
1,41-43,2003-04-01,5238
1,41-43,2003-07-01,3930
1,41-43,2003-10-01,3632
1,41-43,2004-01-01,4070
1,41-43,2004-04-01,4629
1,41-43,2004-07-01,3030
1,41-43,2004-10-01,3263
1,41-43,2005-01-01,4060
1,41-43,2005-04-01,3481
1,41-43,2005-07-01,3021
1,41-43,2005-10-01,3780
1,41-43,2006-01-01,4868
1,41-43,2006-04-01,5489
1,41-43,2006-07-01,4592
1,41-43,2006-10-01,4295
1,41-43,2007-01-01,6195
1,41-43,2007-04-01,6157
1,41-43,2007-07-01,5376
1,41-43,2007-10-01,5278
1,41-43,2008-01-01,5792
1,41-43,2008-04-01,6810
1,41-43,2008-07-01,6398
1,41-43,2008-10-01,4272
1,41-43,2009-01-01,3919
1,41-43,2009-04-01,4104
1,41-43,2009-07-01,3764
1,41-43,2009-10-01,3978
1,41-43,2010-01-01,4640
1,41-43,2010-04-01,5146
1,41-43,2010-07-01,4431
1,41-43,2010-10-01,4578
1,41-43,2011-01-01,5133
1,41-43,2011-04-01,5060
1,41-43,2011-07-01,4436
1,41-43,2011-10-01,4060
1,41-43,2012-01-01,5494
1,41-43,2012-04-01,4535
1,41-43,2012-07-01,4402
1,41-43,2012-10-01,3773
1,41-43,2013-01-01,4865
1,41-43,2013-04-01,3888
1,41-43,2013-07-01,4051
1,41-43,2013-10-01,3751
1,41-43,2014-01-01,4596
1,41-43,2014-04-01,3687
1,41-43,2014-07-01,3118
1,41-43,2014-10-01,3291
1,41-43,2015-01-01,4334
1,41-43,2015-04-01,3259
1,41-43,2015-07-01,2211
1,41-43,2015-10-01,2426
1,41-43,2016-01-01,2547
1,41-43,2016-04-01,2706
1,41-43,2016-07-01,2359
1,41-43,2016-10-01,2054
1,41-43,2017-01-01,3249
1,41-43,2017-04-01,2935
1,41-43,2017-07-01,2920
1,41-43,2017-10-01,3305
1,41-43,2018-01-01,4825
1,41-43,2018-04-01,5011
1,41-43,2018-07-01,4785
1,41-43,2018-10-01,5564
1,41-43,2019-01-01,4893
1,41-43,2019-04-01,5829
1,41-43,2019-07-01,5005
1,41-43,2019-10-01,4388
1,41-43,2020-01-01,4257
1,41-43,2020-04-01,4468
1,41-43,2020-07-01,5743
1,41-43,2020-10-01,4108
1,41-43,2021-01-01,5927
1,41-43,2021-04-01,6181
1,41-43,2021-07-01,6909
1,41-43,2021-10-01,6107
1,41-43,2022-01-01,7735
1,41-43,2022-04-01,8644
1,41-43,2022-07-01,7931
1,41-43,2022-10-01,7272
1,41-43,2023-01-01,8695
1,41-43,2023-04-01,7868
1,41-43,2023-07-01,7426
1,41-43,2023-10-01,7989
1,41-43,2024-01-01,7877
1,41-43,2024-04-01,6847
1,41-43,2024-07-01,7316
1,41-43,2024-10-01,6822
1,41-43,2025-01-01,6061
1,41-43,2025-04-01,5853
1,41-43,2025-07-01,6818
1,41-43,2025-10-01,7354
1,41-43,2026-01-01,8328
1,45-47,2003-04-01,7105
1,45-47,2003-07-01,5670
1,45-47,2003-10-01,5725
1,45-47,2004-01-01,8260
1,45-47,2004-04-01,7050
1,45-47,2004-07-01,5212
1,45-47,2004-10-01,4968
1,45-47,2005-01-01,5971
1,45-47,2005-04-01,5517
1,45-47,2005-07-01,5904
1,45-47,2005-10-01,5919
1,45-47,2006-01-01,7492
1,45-47,2006-04-01,6752
1,45-47,2006-07-01,7158
1,45-47,2006-10-01,8225
1,45-47,2007-01-01,9156
1,45-47,2007-04-01,10562
1,45-47,2007-07-01,11688
1,45-47,2007-10-01,12579
1,45-47,2008-01-01,13430
1,45-47,2008-04-01,13611
1,45-47,2008-07-01,13381
1,45-47,2008-10-01,8388
1,45-47,2009-01-01,7023
1,45-47,2009-04-01,7598
1,45-47,2009-07-01,7538
1,45-47,2009-10-01,7780
1,45-47,2010-01-01,8420
1,45-47,2010-04-01,9331
1,45-47,2010-07-01,10184
1,45-47,2010-10-01,8392
1,45-47,2011-01-01,10299
1,45-47,2011-04-01,10700
1,45-47,2011-07-01,9828
1,45-47,2011-10-01,8423
1,45-47,2012-01-01,8414
1,45-47,2012-04-01,8384
1,45-47,2012-07-01,9052
1,45-47,2012-10-01,9130
1,45-47,2013-01-01,8441
1,45-47,2013-04-01,8579
1,45-47,2013-07-01,7347
1,45-47,2013-10-01,8475
1,45-47,2014-01-01,8482
1,45-47,2014-04-01,9831
1,45-47,2014-07-01,9383
1,45-47,2014-10-01,8825
1,45-47,2015-01-01,8744
1,45-47,2015-04-01,8096
1,45-47,2015-07-01,7619
1,45-47,2015-10-01,6681
1,45-47,2016-01-01,6839
1,45-47,2016-04-01,7580
1,45-47,2016-07-01,8356
1,45-47,2016-10-01,7537
1,45-47,2017-01-01,8082
1,45-47,2017-04-01,8984
1,45-47,2017-07-01,7061
1,45-47,2017-10-01,7535
1,45-47,2018-01-01,7854
1,45-47,2018-04-01,9707
1,45-47,2018-07-01,9239
1,45-47,2018-10-01,8874
1,45-47,2019-01-01,8804
1,45-47,2019-04-01,9909
1,45-47,2019-07-01,10080
1,45-47,2019-10-01,9431
1,45-47,2020-01-01,7025
1,45-47,2020-04-01,6154
1,45-47,2020-07-01,7686
1,45-47,2020-10-01,7554
1,45-47,2021-01-01,7218
1,45-47,2021-04-01,10166
1,45-47,2021-07-01,10304
1,45-47,2021-10-01,11386
1,45-47,2022-01-01,13229
1,45-47,2022-04-01,15300
1,45-47,2022-07-01,15823
1,45-47,2022-10-01,17405
1,45-47,2023-01-01,14258
1,45-47,2023-04-01,15023
1,45-47,2023-07-01,14989
1,45-47,2023-10-01,13737
1,45-47,2024-01-01,13334
1,45-47,2024-04-01,10867
1,45-47,2024-07-01,9702
1,45-47,2024-10-01,8233
1,45-47,2025-01-01,9768
1,45-47,2025-04-01,10696
1,45-47,2025-07-01,10616
1,45-47,2025-10-01,10742
1,45-47,2026-01-01,10730
1,45-96,2003-04-01,26167
1,45-96,2003-07-01,21088
1,45-96,2003-10-01,20764
1,45-96,2004-01-01,28975
1,45-96,2004-04-01,27519
1,45-96,2004-07-01,21991
1,45-96,2004-10-01,21872
1,45-96,2005-01-01,24647
1,45-96,2005-04-01,25152
1,45-96,2005-07-01,25769
1,45-96,2005-10-01,28123
1,45-96,2006-01-01,34611
1,45-96,2006-04-01,35211
1,45-96,2006-07-01,35502
1,45-96,2006-10-01,40329
1,45-96,2007-01-01,44362
1,45-96,2007-04-01,49924
1,45-96,2007-07-01,50862
1,45-96,2007-10-01,49027
1,45-96,2008-01-01,55235
1,45-96,2008-04-01,52871
1,45-96,2008-07-01,50994
1,45-96,2008-10-01,38083
1,45-96,2009-01-01,37978
1,45-96,2009-04-01,38142
1,45-96,2009-07-01,34232
1,45-96,2009-10-01,35810
1,45-96,2010-01-01,38012
1,45-96,2010-04-01,40798
1,45-96,2010-07-01,41645
1,45-96,2010-10-01,39573
1,45-96,2011-01-01,45270
1,45-96,2011-04-01,45131
1,45-96,2011-07-01,40339
1,45-96,2011-10-01,37016
1,45-96,2012-01-01,41281
1,45-96,2012-04-01,39882
1,45-96,2012-07-01,38520
1,45-96,2012-10-01,38280
1,45-96,2013-01-01,42638
1,45-96,2013-04-01,43470
1,45-96,2013-07-01,42423
1,45-96,2013-10-01,41392
1,45-96,2014-01-01,45540
1,45-96,2014-04-01,44014
1,45-96,2014-07-01,43261
1,45-96,2014-10-01,41684
1,45-96,2015-01-01,44090
1,45-96,2015-04-01,41980
1,45-96,2015-07-01,39638
1,45-96,2015-10-01,39570
1,45-96,2016-01-01,41727
1,45-96,2016-04-01,42970
1,45-96,2016-07-01,43570
1,45-96,2016-10-01,41607
1,45-96,2017-01-01,46251
1,45-96,2017-04-01,46328
1,45-96,2017-07-01,44575
1,45-96,2017-10-01,47094
1,45-96,2018-01-01,52329
1,45-96,2018-04-01,54890
1,45-96,2018-07-01,54988
1,45-96,2018-10-01,56055
1,45-96,2019-01-01,59645
1,45-96,2019-04-01,66327
1,45-96,2019-07-01,63721
1,45-96,2019-10-01,64827
1,45-96,2020-01-01,55004
1,45-96,2020-04-01,47739
1,45-96,2020-07-01,52012
1,45-96,2020-10-01,51887
1,45-96,2021-01-01,54133
1,45-96,2021-04-01,67046
1,45-96,2021-07-01,74255
1,45-96,2021-10-01,79558
1,45-96,2022-01-01,92408
1,45-96,2022-04-01,96673
1,45-96,2022-07-01,93620
1,45-96,2022-10-01,94304
1,45-96,2023-01-01,93880
1,45-96,2023-04-01,92524
1,45-96,2023-07-01,86787
1,45-96,2023-10-01,83186
1,45-96,2024-01-01,87157
1,45-96,2024-04-01,80448
1,45-96,2024-07-01,75265
1,45-96,2024-10-01,68714
1,45-96,2025-01-01,72636
1,45-96,2025-04-01,73945
1,45-96,2025-07-01,68060
1,45-96,2025-10-01,66511
1,45-96,2026-01-01,75881
1,49-53,2003-04-01,1102
1,49-53,2003-07-01,896
1,49-53,2003-10-01,1125
1,49-53,2004-01-01,1447
1,49-53,2004-04-01,1684
1,49-53,2004-07-01,1121
1,49-53,2004-10-01,1454
1,49-53,2005-01-01,1281
1,49-53,2005-04-01,1195
1,49-53,2005-07-01,1263
1,49-53,2005-10-01,1332
1,49-53,2006-01-01,1616
1,49-53,2006-04-01,1941
1,49-53,2006-07-01,1656
1,49-53,2006-10-01,1996
1,49-53,2007-01-01,2347
1,49-53,2007-04-01,2973
1,49-53,2007-07-01,2795
1,49-53,2007-10-01,2690
1,49-53,2008-01-01,3354
1,49-53,2008-04-01,2954
1,49-53,2008-07-01,3079
1,49-53,2008-10-01,1914
1,49-53,2009-01-01,1635
1,49-53,2009-04-01,1718
1,49-53,2009-07-01,1644
1,49-53,2009-10-01,1709
1,49-53,2010-01-01,1968
1,49-53,2010-04-01,2329
1,49-53,2010-07-01,1880
1,49-53,2010-10-01,1865
1,49-53,2011-01-01,1867
1,49-53,2011-04-01,2038
1,49-53,2011-07-01,1977
1,49-53,2011-10-01,1954
1,49-53,2012-01-01,1869
1,49-53,2012-04-01,1927
1,49-53,2012-07-01,1866
1,49-53,2012-10-01,1584
1,49-53,2013-01-01,1914
1,49-53,2013-04-01,1842
1,49-53,2013-07-01,2139
1,49-53,2013-10-01,1826
1,49-53,2014-01-01,2002
1,49-53,2014-04-01,1889
1,49-53,2014-07-01,2001
1,49-53,2014-10-01,2108
1,49-53,2015-01-01,2198
1,49-53,2015-04-01,2074
1,49-53,2015-07-01,1832
1,49-53,2015-10-01,2171
1,49-53,2016-01-01,2565
1,49-53,2016-04-01,1888
1,49-53,2016-07-01,2031
1,49-53,2016-10-01,2372
1,49-53,2017-01-01,2938
1,49-53,2017-04-01,3328
1,49-53,2017-07-01,2852
1,49-53,2017-10-01,2729
1,49-53,2018-01-01,3340
1,49-53,2018-04-01,3144
1,49-53,2018-07-01,3909
1,49-53,2018-10-01,3758
1,49-53,2019-01-01,4107
1,49-53,2019-04-01,5150
