flow,partner,level,date,value
export,Europe,group,2011-01-01,123683.123041
export,Europe,group,2012-01-01,153408.117545
export,Europe,group,2013-01-01,134120.995881
export,Europe,group,2014-01-01,133458.196409
export,Europe,group,2015-01-01,125069.732829
export,Europe,group,2016-01-01,147545.612475
export,Europe,group,2017-01-01,137289.443116
export,Europe,group,2018-01-01,139474.249334
export,Europe,group,2019-01-01,160031.254454
export,Europe,group,2020-01-01,142680.575542
export,Europe,group,2021-01-01,163772.777262
export,Europe,group,2022-01-01,174304.288071
export,Europe,group,2023-01-01,169075.793758
export,Europe,group,2024-01-01,183663.290681
export,Europe,group,2025-01-01,226692.245144
export,France,country,1990-01-01,8748
export,France,country,1991-01-01,8465
export,France,country,1992-01-01,8726
export,France,country,1993-01-01,8503.47912
export,France,country,1994-01-01,8802.101742
export,France,country,1995-01-01,9166.343208
export,France,country,1996-01-01,9185.443758
export,France,country,1997-01-01,9980.047126
export,France,country,1998-01-01,10875.435512
export,France,country,1999-01-01,11093.054347
export,France,country,2000-01-01,11955.778589
export,France,country,2001-01-01,12386.040447
export,France,country,2002-01-01,13080.739265
export,France,country,2003-01-01,12416.909016
export,France,country,2004-01-01,13511.655978
export,France,country,2005-01-01,14136.342863
export,France,country,2006-01-01,15853.959004
export,France,country,2007-01-01,17215.851017
export,France,country,2008-01-01,18522.750345
export,France,country,2009-01-01,15686.254086
export,France,country,2010-01-01,15578.232174
export,France,country,2011-01-01,14865.198978
export,France,country,2012-01-01,21875.673825
export,France,country,2013-01-01,19185.917275
export,France,country,2014-01-01,17317.416057
export,France,country,2015-01-01,16804.058826
export,France,country,2016-01-01,17286.929533
export,France,country,2017-01-01,17230.207626
export,France,country,2018-01-01,19718.181907
export,France,country,2019-01-01,19237.314307
export,France,country,2020-01-01,15429.578093
export,France,country,2021-01-01,17566.085173
export,France,country,2022-01-01,20006.459988
export,France,country,2023-01-01,18051.763469
export,France,country,2024-01-01,18550.639784
export,France,country,2025-01-01,26531.555155
export,Germany,country,1990-01-01,19307
export,Germany,country,1991-01-01,20907
export,Germany,country,1992-01-01,21593
export,Germany,country,1993-01-01,21400.696927
export,Germany,country,1994-01-01,22440.443154
