sex,worktime,measure,date,value
M,FT,volume,2022-01-01,4268436473.8
M,FT,volume,2023-01-01,4297180219.2
M,FT,volume,2024-01-01,4249425134.9
M,FT,volume,2025-01-01,4203873048.3
M,FT,weekly,2010-01-01,42.238795521
M,FT,weekly,2011-01-01,42.321502971
M,FT,weekly,2012-01-01,42.219295321
M,FT,weekly,2013-01-01,42.102830255
M,FT,weekly,2014-01-01,41.899100226
M,FT,weekly,2015-01-01,41.907064374
M,FT,weekly,2016-01-01,41.884495523
M,FT,weekly,2017-01-01,41.794467522
M,FT,weekly,2018-01-01,41.74403454
M,FT,weekly,2019-01-01,41.67338646
M,FT,weekly,2020-01-01,38.817509057
M,FT,weekly,2021-01-01,40.037003742
M,FT,weekly,2022-01-01,40.464480453
M,FT,weekly,2023-01-01,40.753800891
M,FT,weekly,2024-01-01,40.518095755
M,FT,weekly,2025-01-01,40.466194523
M,PT,annual,2010-01-01,848.88609358
M,PT,annual,2011-01-01,866.52909447
M,PT,annual,2012-01-01,853.5997346
M,PT,annual,2013-01-01,844.50634625
M,PT,annual,2014-01-01,852.91218003
M,PT,annual,2015-01-01,870.41793408
M,PT,annual,2016-01-01,866.83445904
M,PT,annual,2017-01-01,848.83538963
M,PT,annual,2018-01-01,850.01851728
M,PT,annual,2019-01-01,856.40528503
M,PT,annual,2020-01-01,859.25821319
M,PT,annual,2021-01-01,845.88002198
M,PT,annual,2022-01-01,871.59085702
M,PT,annual,2023-01-01,865.23014733
M,PT,annual,2024-01-01,874.95955051
M,PT,annual,2025-01-01,880.3107496
M,PT,volume,2010-01-01,365867189.29
M,PT,volume,2011-01-01,378643526.62
M,PT,volume,2012-01-01,391111277.96
M,PT,volume,2013-01-01,402696409.17
M,PT,volume,2014-01-01,442402583.51
M,PT,volume,2015-01-01,471328543.35
M,PT,volume,2016-01-01,496195859.97
M,PT,volume,2017-01-01,498814784.69
M,PT,volume,2018-01-01,519651821.31
M,PT,volume,2019-01-01,536908723.35
M,PT,volume,2020-01-01,536380717.47
M,PT,volume,2021-01-01,535426675.63
M,PT,volume,2022-01-01,573134409.9
M,PT,volume,2023-01-01,606258928.11
M,PT,volume,2024-01-01,633465926.27
M,PT,volume,2025-01-01,649895322.94
M,PT,weekly,2010-01-01,17.838339426
M,PT,weekly,2011-01-01,18.359422939
M,PT,weekly,2012-01-01,18.175531452
M,PT,weekly,2013-01-01,18.124280016
M,PT,weekly,2014-01-01,18.330375393
M,PT,weekly,2015-01-01,18.498870458
M,PT,weekly,2016-01-01,18.426936982
M,PT,weekly,2017-01-01,18.190515647
M,PT,weekly,2018-01-01,18.299206906
M,PT,weekly,2019-01-01,18.41668116
M,PT,weekly,2020-01-01,17.999470873
M,PT,weekly,2021-01-01,18.137158786
M,PT,weekly,2022-01-01,18.44559108
M,PT,weekly,2023-01-01,18.454127416
M,PT,weekly,2024-01-01,18.666600783
