indicator,date,value
ch.kof.esi.index.v2018,2010-06-01,110.57207424692092
ch.kof.esi.index.v2018,2010-07-01,113.11108319936022
ch.kof.esi.index.v2018,2010-08-01,113.4555201373636
ch.kof.esi.index.v2018,2010-09-01,113.08835205832068
ch.kof.esi.index.v2018,2010-10-01,115.06006742470716
ch.kof.esi.index.v2018,2010-11-01,115.42179995419664
ch.kof.esi.index.v2018,2010-12-01,115.6362896867007
ch.kof.esi.index.v2018,2011-01-01,115.8455439196592
ch.kof.esi.index.v2018,2011-02-01,114.18456020477362
ch.kof.esi.index.v2018,2011-03-01,114.59517960718094
ch.kof.esi.index.v2018,2011-04-01,111.69758742772652
ch.kof.esi.index.v2018,2011-05-01,109.51169226466897
ch.kof.esi.index.v2018,2011-06-01,108.69554668021082
ch.kof.esi.index.v2018,2011-07-01,103.97198318732376
ch.kof.esi.index.v2018,2011-08-01,101.7562103377858
ch.kof.esi.index.v2018,2011-09-01,98.993386897865
ch.kof.esi.index.v2018,2011-10-01,95.19272290859008
ch.kof.esi.index.v2018,2011-11-01,94.80260287591489
ch.kof.esi.index.v2018,2011-12-01,95.99252916351266
ch.kof.esi.index.v2018,2012-01-01,94.27318858771638
ch.kof.esi.index.v2018,2012-02-01,95.33544145464552
ch.kof.esi.index.v2018,2012-03-01,98.77111996984134
ch.kof.esi.index.v2018,2012-04-01,100.7738993431456
ch.kof.esi.index.v2018,2012-05-01,99.99748871729902
ch.kof.esi.index.v2018,2012-06-01,100.15819976492423
ch.kof.esi.index.v2018,2012-07-01,98.02996471443184
ch.kof.esi.index.v2018,2012-08-01,100.0715379757332
ch.kof.esi.index.v2018,2012-09-01,98.67283077541798
ch.kof.esi.index.v2018,2012-10-01,97.71184697353058
ch.kof.esi.index.v2018,2012-11-01,96.98294332561588
ch.kof.esi.index.v2018,2012-12-01,96.8643404896028
ch.kof.esi.index.v2018,2013-01-01,100.57788376735154
ch.kof.esi.index.v2018,2013-02-01,101.92772291200563
ch.kof.esi.index.v2018,2013-03-01,100.64077975743194
ch.kof.esi.index.v2018,2013-04-01,100.4830201787998
ch.kof.esi.index.v2018,2013-05-01,100.8646131336547
ch.kof.esi.index.v2018,2013-06-01,100.36385385637811
ch.kof.esi.index.v2018,2013-07-01,101.5135310343534
ch.kof.esi.index.v2018,2013-08-01,101.8792584564428
ch.kof.esi.index.v2018,2013-09-01,103.24436946050145
ch.kof.esi.index.v2018,2013-10-01,105.01917146479404
ch.kof.esi.index.v2018,2013-11-01,105.02180251483848
ch.kof.esi.index.v2018,2013-12-01,105.21360416041288
ch.kof.esi.index.v2018,2014-01-01,106.00703810375836
ch.kof.esi.index.v2018,2014-02-01,106.6006580700363
ch.kof.esi.index.v2018,2014-03-01,106.52544039977164
ch.kof.esi.index.v2018,2014-04-01,104.66902011835155
ch.kof.esi.index.v2018,2014-05-01,104.51062699848724
ch.kof.esi.index.v2018,2014-06-01,104.88729454889008
ch.kof.esi.index.v2018,2014-07-01,103.37362136914528
ch.kof.esi.index.v2018,2014-08-01,102.54280199340104
ch.kof.esi.index.v2018,2014-09-01,101.87020131610726
ch.kof.esi.index.v2018,2014-10-01,100.63406992945067
ch.kof.esi.index.v2018,2014-11-01,100.46590940887188
ch.kof.esi.index.v2018,2014-12-01,100.8823229123686
ch.kof.esi.index.v2018,2015-01-01,98.95167178145768
ch.kof.esi.index.v2018,2015-02-01,94.27691660508825
ch.kof.esi.index.v2018,2015-03-01,96.6160491248179
ch.kof.esi.index.v2018,2015-04-01,93.66413987472276
ch.kof.esi.index.v2018,2015-05-01,94.37341716442812
ch.kof.esi.index.v2018,2015-06-01,94.47409092989788
ch.kof.esi.index.v2018,2015-07-01,91.59137207602237
ch.kof.esi.index.v2018,2015-08-01,93.4217406148265
ch.kof.esi.index.v2018,2015-09-01,91.45226602744044
ch.kof.esi.index.v2018,2015-10-01,92.27161580357028
ch.kof.esi.index.v2018,2015-11-01,92.0959640078034
ch.kof.esi.index.v2018,2015-12-01,92.41051383766744
ch.kof.esi.index.v2018,2016-01-01,93.8318308685166
ch.kof.esi.index.v2018,2016-02-01,93.52252128189564
ch.kof.esi.index.v2018,2016-03-01,93.34477382415103
ch.kof.esi.index.v2018,2016-04-01,95.2723385543308
ch.kof.esi.index.v2018,2016-05-01,95.40077618564104
ch.kof.esi.index.v2018,2016-06-01,93.9489505898097
ch.kof.esi.index.v2018,2016-07-01,95.78154953353751
ch.kof.esi.index.v2018,2016-08-01,94.72591855345208
ch.kof.esi.index.v2018,2016-09-01,96.32502624203217
ch.kof.esi.index.v2018,2016-10-01,96.42537240130332
ch.kof.esi.index.v2018,2016-11-01,96.13334859721218
ch.kof.esi.index.v2018,2016-12-01,97.16107563418798
ch.kof.esi.index.v2018,2017-01-01,99.24775897168696
ch.kof.esi.index.v2018,2017-02-01,99.5745910699243
ch.kof.esi.index.v2018,2017-03-01,100.4604483497251
ch.kof.esi.index.v2018,2017-04-01,100.70322623191667
ch.kof.esi.index.v2018,2017-05-01,100.36904381024036
ch.kof.esi.index.v2018,2017-06-01,101.40474626598936
ch.kof.esi.index.v2018,2017-07-01,102.6724252361374
ch.kof.esi.index.v2018,2017-08-01,103.11484077546706
ch.kof.esi.index.v2018,2017-09-01,104.37748379068294
ch.kof.esi.index.v2018,2017-10-01,106.48039493904632
ch.kof.esi.index.v2018,2017-11-01,106.96188985978092
ch.kof.esi.index.v2018,2017-12-01,107.23933365495284
