NOGA,ADJUSTMENT,INDICATOR_KE,date,value
47,N,PTOT,2018-12-01,111.82
47,N,PTOT,2019-01-01,89.2
47,N,PTOT,2019-02-01,81.74
47,N,PTOT,2019-03-01,92.2
47,N,PTOT,2019-04-01,91.55
47,N,PTOT,2019-05-01,96.2
47,N,PTOT,2019-06-01,93.43
47,N,PTOT,2019-07-01,94.85
47,N,PTOT,2019-08-01,89.21
47,N,PTOT,2019-09-01,87.48
47,N,PTOT,2019-10-01,95.9
47,N,PTOT,2019-11-01,102.13
47,N,PTOT,2019-12-01,112.72
47,N,PTOT,2020-01-01,90.09
47,N,PTOT,2020-02-01,87.08
47,N,PTOT,2020-03-01,86.16
47,N,PTOT,2020-04-01,75.5
47,N,PTOT,2020-05-01,102.03
47,N,PTOT,2020-06-01,97.68
47,N,PTOT,2020-07-01,99.91
47,N,PTOT,2020-08-01,90.36
47,N,PTOT,2020-09-01,91.68
47,N,PTOT,2020-10-01,101.94
47,N,PTOT,2020-11-01,101.73
47,N,PTOT,2020-12-01,121.81
47,N,PTOT,2021-01-01,87.39
47,N,PTOT,2021-02-01,77.31
47,N,PTOT,2021-03-01,110.34
47,N,PTOT,2021-04-01,102.47
47,N,PTOT,2021-05-01,102.31
47,N,PTOT,2021-06-01,100.05
47,N,PTOT,2021-07-01,98.18
47,N,PTOT,2021-08-01,92.79
47,N,PTOT,2021-09-01,94.4
47,N,PTOT,2021-10-01,101.65
47,N,PTOT,2021-11-01,108.54
47,N,PTOT,2021-12-01,124.56
47,N,PTOT,2022-01-01,93.25
47,N,PTOT,2022-02-01,87.59
47,N,PTOT,2022-03-01,102.48
47,N,PTOT,2022-04-01,98.62
47,N,PTOT,2022-05-01,101.94
47,N,PTOT,2022-06-01,99.24
47,N,PTOT,2022-07-01,98.54
47,N,PTOT,2022-08-01,94.92
47,N,PTOT,2022-09-01,96.48
47,N,PTOT,2022-10-01,98.4
47,N,PTOT,2022-11-01,107.27
47,N,PTOT,2022-12-01,121.93
47,N,PTOT,2023-01-01,92.32
47,N,PTOT,2023-02-01,86.99
47,N,PTOT,2023-03-01,100.56
47,N,PTOT,2023-04-01,92.74
47,N,PTOT,2023-05-01,100.56
47,N,PTOT,2023-06-01,101.38
47,N,PTOT,2023-07-01,95.35
47,N,PTOT,2023-08-01,93.3
47,N,PTOT,2023-09-01,93.87
47,N,PTOT,2023-10-01,95.99
47,N,PTOT,2023-11-01,106.35
47,N,PTOT,2023-12-01,117.34
47,N,PTOT,2024-01-01,92.81
47,N,PTOT,2024-02-01,90.7
47,N,PTOT,2024-03-01,99.55
47,N,PTOT,2024-04-01,94.79
47,N,PTOT,2024-05-01,101.45
47,N,PTOT,2024-06-01,96.42
47,N,PTOT,2024-07-01,99.23
47,N,PTOT,2024-08-01,96.2
47,N,PTOT,2024-09-01,92.72
47,N,PTOT,2024-10-01,100.47
47,N,PTOT,2024-11-01,108.22
47,N,PTOT,2024-12-01,117.61
47,N,PTOT,2025-01-01,95.62
47,N,PTOT,2025-02-01,88.42
47,N,PTOT,2025-03-01,99.44
47,N,PTOT,2025-04-01,97.12
47,N,PTOT,2025-05-01,103.01
47,N,PTOT,2025-06-01,98.37
