base,date,value
1963,1994-09-01,194.7876
1963,1994-10-01,194.7326
1963,1994-11-01,194.7893
1963,1994-12-01,194.4439
1963,1995-01-01,194.4433
1963,1995-02-01,194.6908
1963,1995-03-01,194.9076
1963,1995-04-01,194.7248
1963,1995-05-01,194.249
1963,1995-06-01,194.5755
1963,1995-07-01,194.5923
1963,1995-08-01,194.078
1963,1995-09-01,194.329
1963,1995-10-01,194.0088
1963,1995-11-01,193.2504
1963,1995-12-01,192.9878
1963,1996-01-01,192.9855
1963,1996-02-01,192.0451
1963,1996-03-01,191.645
1963,1996-04-01,191.8541
1963,1996-05-01,190.7864
1963,1996-06-01,190.9651
1963,1996-07-01,190.812
1963,1996-08-01,189.949
1963,1996-09-01,190.078
1963,1996-10-01,189.898
1963,1996-11-01,189.3957
1963,1996-12-01,189.3542
1963,1997-01-01,189.3988
1963,1997-02-01,189.1916
1963,1997-03-01,189.5602
1963,1997-04-01,189.1515
1963,1997-05-01,189.485
1963,1997-06-01,189.7244
1963,1997-07-01,189.8912
1963,1997-08-01,189.3626
1963,1997-09-01,189.536
1963,1997-10-01,189.4273
1963,1997-11-01,189.3761
1963,1997-12-01,189.0589
1963,1998-01-01,188.9506
1963,1998-02-01,187.8839
1963,1998-03-01,187.9189
1963,1998-04-01,187.8123
1963,1998-05-01,187.4106
1963,1998-06-01,187.4259
1963,1998-07-01,187.3903
1963,1998-08-01,186.8541
1963,1998-09-01,186.7462
1963,1998-10-01,186.1827
1963,1998-11-01,185.3814
1963,1998-12-01,185.2079
1963,1999-01-01,185.3625
1963,1999-02-01,184.2536
1963,1999-03-01,184.2559
1963,1999-04-01,184.3232
1963,1999-05-01,184.4365
1963,1999-06-01,184.9207
1963,1999-07-01,185.2898
1963,1999-08-01,185.8273
1963,1999-09-01,186.4243
1963,1999-10-01,186.2071
1963,1999-11-01,185.4323
1963,1999-12-01,186.0349
1963,2000-01-01,186.3344
1963,2000-02-01,186.2392
1963,2000-03-01,186.4092
1963,2000-04-01,186.7171
1963,2000-05-01,186.9853
1963,2000-06-01,187.1571
1963,2000-07-01,187.1567
1963,2000-08-01,187.1769
1963,2000-09-01,187.3041
1963,2000-10-01,187.412
1963,2000-11-01,187.4235
1963,2000-12-01,187.4763
1963,2001-01-01,187.5181
1963,2001-02-01,187.3332
1963,2001-03-01,187.3569
