type,structure,seas_adj,date,value
index,ks_i11_econ_hist_q,na,1996-04-01,-79.29090399757992
index,ks_i11_econ_hist_q,na,1996-07-01,-88.24001574742854
index,ks_i11_econ_hist_q,na,1996-10-01,-86.91331670714791
index,ks_i11_econ_hist_q,na,1997-01-01,-90.79614904812284
index,ks_i11_econ_hist_q,na,1997-04-01,-77.46029819406107
index,ks_i11_econ_hist_q,na,1997-07-01,-56.26249026086691
index,ks_i11_econ_hist_q,na,1997-10-01,-22.973585361731462
index,ks_i11_econ_hist_q,na,1998-01-01,-36.09739592124427
index,ks_i11_econ_hist_q,na,1998-04-01,-9.017344629798952
index,ks_i11_econ_hist_q,na,1998-07-01,13.75997899173479
index,ks_i11_econ_hist_q,na,1998-10-01,1.916643597400805
index,ks_i11_econ_hist_q,na,1999-01-01,0.6789991008352159
index,ks_i11_econ_hist_q,na,1999-04-01,-5.631398642933188
index,ks_i11_econ_hist_q,na,1999-07-01,4.630366881990231
index,ks_i11_econ_hist_q,na,1999-10-01,20.1123873101419
index,ks_i11_econ_hist_q,na,2000-01-01,31.47765752238432
index,ks_i11_econ_hist_q,na,2000-04-01,38.989486023718065
index,ks_i11_econ_hist_q,na,2000-07-01,51.98942544794535
index,ks_i11_econ_hist_q,na,2000-10-01,49.26464710704856
index,ks_i11_econ_hist_q,na,2001-01-01,45.809657390139805
index,ks_i11_econ_hist_q,na,2001-04-01,35.64284954495833
index,ks_i11_econ_hist_q,na,2001-07-01,21.735812357949772
index,ks_i11_econ_hist_q,na,2001-10-01,-53.8269985374005
index,ks_i11_econ_hist_q,na,2002-01-01,-52.030794692466145
index,ks_i11_econ_hist_q,na,2002-04-01,-36.59016016377954
index,ks_i11_econ_hist_q,na,2002-07-01,-50.325901339584114
index,ks_i11_econ_hist_q,na,2002-10-01,-103.83324497784804
index,ks_i11_econ_hist_q,na,2003-01-01,-83.25252821153104
index,ks_i11_econ_hist_q,na,2003-04-01,-101.20407904591364
index,ks_i11_econ_hist_q,na,2003-07-01,-92.34457981310572
index,ks_i11_econ_hist_q,na,2003-10-01,-66.04737398179715
index,ks_i11_econ_hist_q,na,2004-01-01,-58.56463178786878
index,ks_i11_econ_hist_q,na,2004-04-01,-28.73429477214511
index,ks_i11_econ_hist_q,na,2004-07-01,-22.011097503206745
index,ks_i11_econ_hist_q,na,2004-10-01,-33.43171031657722
index,ks_i11_econ_hist_q,na,2005-01-01,-30.712861318380824
index,ks_i11_econ_hist_q,na,2005-04-01,-26.546420515343826
index,ks_i11_econ_hist_q,na,2005-07-01,-37.8234950455559
index,ks_i11_econ_hist_q,na,2005-10-01,-35.564133453355176
index,ks_i11_econ_hist_q,na,2006-01-01,-2.5124902608669117
index,ks_i11_econ_hist_q,na,2006-04-01,12.953407913964982
index,ks_i11_econ_hist_q,na,2006-07-01,31.80590821387093
index,ks_i11_econ_hist_q,na,2006-10-01,38.55031167150024
index,ks_i11_econ_hist_q,na,2007-01-01,41.05281002511974
index,ks_i11_econ_hist_q,na,2007-04-01,45.59614213486539
index,ks_i11_econ_hist_q,na,2007-07-01,40.97807577686894
index,ks_i11_econ_hist_q,na,2007-10-01,33.201795453418804
index,ks_i11_econ_hist_q,na,2008-01-01,28.16177374673043
index,ks_i11_econ_hist_q,na,2008-04-01,-0.14954130056445436
index,ks_i11_econ_hist_q,na,2008-07-01,-27.607187230563884
index,ks_i11_econ_hist_q,na,2008-10-01,-59.923372061992616
index,ks_i11_econ_hist_q,na,2009-01-01,-66.49752300174623
index,ks_i11_econ_hist_q,na,2009-04-01,-98.81904612420948
index,ks_i11_econ_hist_q,na,2009-07-01,-102.7907833963029
index,ks_i11_econ_hist_q,na,2009-10-01,-77.2090355456475
index,ks_i11_econ_hist_q,na,2010-01-01,-60.807207591728826
