Wirtschaftsabteilung,date,value
41-43,2004-04-01,1.04
41-43,2004-07-01,0.96
41-43,2004-10-01,0.98
41-43,2005-01-01,1.07
41-43,2005-04-01,1.04
41-43,2005-07-01,0.96
41-43,2005-10-01,1
41-43,2006-01-01,1.08
41-43,2006-04-01,1.07
41-43,2006-07-01,0.99
41-43,2006-10-01,1.04
41-43,2007-01-01,1.08
41-43,2007-04-01,1.07
41-43,2007-07-01,0.99
41-43,2007-10-01,1.03
41-43,2008-01-01,1.09
41-43,2008-04-01,1.07
41-43,2008-07-01,1
41-43,2008-10-01,0.98
41-43,2009-01-01,1.03
41-43,2009-04-01,1.02
41-43,2009-07-01,0.97
41-43,2009-10-01,1
41-43,2010-01-01,1.06
41-43,2010-04-01,1.05
41-43,2010-07-01,1
41-43,2010-10-01,1.02
41-43,2011-01-01,1.09
41-43,2011-04-01,1.06
41-43,2011-07-01,0.98
41-43,2011-10-01,1.01
41-43,2012-01-01,1.06
41-43,2012-04-01,1.05
41-43,2012-07-01,0.99
41-43,2012-10-01,1.01
41-43,2013-01-01,1.07
41-43,2013-04-01,1.03
41-43,2013-07-01,0.98
41-43,2013-10-01,1.01
41-43,2014-01-01,1.06
41-43,2014-04-01,1.04
41-43,2014-07-01,0.98
41-43,2014-10-01,1.01
41-43,2015-01-01,1.04
41-43,2015-04-01,1.02
41-43,2015-07-01,0.97
41-43,2015-10-01,0.99
41-43,2016-01-01,1.03
41-43,2016-04-01,1.03
41-43,2016-07-01,0.98
41-43,2016-10-01,1
41-43,2017-01-01,1.03
41-43,2017-04-01,1.02
41-43,2017-07-01,0.99
41-43,2017-10-01,1.03
41-43,2018-01-01,1.08
41-43,2018-04-01,1.04
41-43,2018-07-01,1.01
41-43,2018-10-01,1.05
41-43,2019-01-01,1.07
41-43,2019-04-01,1.06
41-43,2019-07-01,1
41-43,2019-10-01,1.03
41-43,2020-01-01,1.02
41-43,2020-04-01,1.01
41-43,2020-07-01,1.01
41-43,2020-10-01,1.01
41-43,2021-01-01,1.06
41-43,2021-04-01,1.06
41-43,2021-07-01,1.03
41-43,2021-10-01,1.06
41-43,2022-01-01,1.09
41-43,2022-04-01,1.06
41-43,2022-07-01,1.03
41-43,2022-10-01,1.05
41-43,2023-01-01,1.07
41-43,2023-04-01,1.06
41-43,2023-07-01,1.03
41-43,2023-10-01,1.04
41-43,2024-01-01,1.05
41-43,2024-04-01,1.04
41-43,2024-07-01,1.02
41-43,2024-10-01,1.04
41-43,2025-01-01,1.05
41-43,2025-04-01,1.04
41-43,2025-07-01,0.99
41-43,2025-10-01,1.04
41-43,2026-01-01,1.06
41-43,2026-04-01,1.07
45-47,2004-01-01,1
45-47,2004-04-01,1.01
45-47,2004-07-01,0.99
45-47,2004-10-01,0.99
45-47,2005-01-01,1
45-47,2005-04-01,1.01
45-47,2005-07-01,0.98
45-47,2005-10-01,0.99
45-47,2006-01-01,1.01
45-47,2006-04-01,1.02
45-47,2006-07-01,1.02
45-47,2006-10-01,1.01
45-47,2007-01-01,1.04
45-47,2007-04-01,1.05
45-47,2007-07-01,1.04
45-47,2007-10-01,1.02
45-47,2008-01-01,1.03
45-47,2008-04-01,1.03
45-47,2008-07-01,1.02
45-47,2008-10-01,0.99
45-47,2009-01-01,0.98
45-47,2009-04-01,1
45-47,2009-07-01,1
45-47,2009-10-01,1
45-47,2010-01-01,1.02
45-47,2010-04-01,1.03
45-47,2010-07-01,1.02
45-47,2010-10-01,1.02
45-47,2011-01-01,1.02
45-47,2011-04-01,1.03
45-47,2011-07-01,1.02
45-47,2011-10-01,1.01
45-47,2012-01-01,1.02
45-47,2012-04-01,1.01
45-47,2012-07-01,1.01
45-47,2012-10-01,1.01
45-47,2013-01-01,1
45-47,2013-04-01,1
45-47,2013-07-01,1.01
45-47,2013-10-01,1.01
45-47,2014-01-01,1.01
45-47,2014-04-01,1.01
45-47,2014-07-01,1.02
45-47,2014-10-01,1
45-47,2015-01-01,1
45-47,2015-04-01,1.01
45-47,2015-07-01,1.01
45-47,2015-10-01,1.01
45-47,2016-01-01,1.01
45-47,2016-04-01,1.01
45-47,2016-07-01,1.03
45-47,2016-10-01,1.01
45-47,2017-01-01,1.01
45-47,2017-04-01,1.02
45-47,2017-07-01,1.03
45-47,2017-10-01,1.01
45-47,2018-01-01,1.03
45-47,2018-04-01,1.02
45-47,2018-07-01,1.04
45-47,2018-10-01,1.03
45-47,2019-01-01,1.02
45-47,2019-04-01,1.02
45-47,2019-07-01,1.03
45-47,2019-10-01,1.01
45-47,2020-01-01,0.98
45-47,2020-04-01,0.99
45-47,2020-07-01,1.01
45-47,2020-10-01,0.99
45-47,2021-01-01,1.02
45-47,2021-04-01,1.02
45-47,2021-07-01,1.04
45-47,2021-10-01,1.04
45-47,2022-01-01,1.06
45-47,2022-04-01,1.05
45-47,2022-07-01,1.06
45-47,2022-10-01,1.06
45-47,2023-01-01,1.05
45-47,2023-04-01,1.06
45-47,2023-07-01,1.05
45-47,2023-10-01,1.04
45-47,2024-01-01,1.02
45-47,2024-04-01,1.02
45-47,2024-07-01,1.03
45-47,2024-10-01,1.01
45-47,2025-01-01,1.03
45-47,2025-04-01,1.02
45-47,2025-07-01,1.02
45-47,2025-10-01,1.01
45-47,2026-01-01,1.01
45-47,2026-04-01,1.03
45-96,2004-01-01,1
45-96,2004-04-01,1
45-96,2004-07-01,0.99
45-96,2004-10-01,0.99
45-96,2005-01-01,1
45-96,2005-04-01,1.01
45-96,2005-07-01,0.99
45-96,2005-10-01,1
45-96,2006-01-01,1.02
45-96,2006-04-01,1.03
45-96,2006-07-01,1.02
45-96,2006-10-01,1.03
45-96,2007-01-01,1.05
45-96,2007-04-01,1.06
45-96,2007-07-01,1.05
45-96,2007-10-01,1.03
45-96,2008-01-01,1.06
45-96,2008-04-01,1.05
45-96,2008-07-01,1.03
45-96,2008-10-01,1.02
45-96,2009-01-01,0.99
45-96,2009-04-01,1.01
45-96,2009-07-01,1
45-96,2009-10-01,1.01
45-96,2010-01-01,1.02
45-96,2010-04-01,1.04
45-96,2010-07-01,1.02
45-96,2010-10-01,1.03
45-96,2011-01-01,1.04
45-96,2011-04-01,1.04
45-96,2011-07-01,1.02
45-96,2011-10-01,1.02
45-96,2012-01-01,1.03
45-96,2012-04-01,1.03
45-96,2012-07-01,1.02
45-96,2012-10-01,1.02
45-96,2013-01-01,1.02
45-96,2013-04-01,1.02
45-96,2013-07-01,1.02
45-96,2013-10-01,1.03
45-96,2014-01-01,1.03
45-96,2014-04-01,1.03
45-96,2014-07-01,1.02
45-96,2014-10-01,1.02
45-96,2015-01-01,1.02
45-96,2015-04-01,1.02
45-96,2015-07-01,1.01
45-96,2015-10-01,1.03
45-96,2016-01-01,1.02
45-96,2016-04-01,1.03
45-96,2016-07-01,1.02
45-96,2016-10-01,1.03
45-96,2017-01-01,1.02
45-96,2017-04-01,1.03
45-96,2017-07-01,1.02
45-96,2017-10-01,1.03
45-96,2018-01-01,1.04
45-96,2018-04-01,1.04
45-96,2018-07-01,1.03
45-96,2018-10-01,1.04
45-96,2019-01-01,1.04
45-96,2019-04-01,1.04
45-96,2019-07-01,1.04
45-96,2019-10-01,1.03
45-96,2020-01-01,1
45-96,2020-04-01,1.01
45-96,2020-07-01,1.01
45-96,2020-10-01,1
45-96,2021-01-01,1.03
45-96,2021-04-01,1.04
45-96,2021-07-01,1.04
45-96,2021-10-01,1.05
45-96,2022-01-01,1.07
45-96,2022-04-01,1.07
45-96,2022-07-01,1.05
45-96,2022-10-01,1.07
45-96,2023-01-01,1.06
45-96,2023-04-01,1.06
45-96,2023-07-01,1.04
45-96,2023-10-01,1.05
45-96,2024-01-01,1.05
45-96,2024-04-01,1.05
45-96,2024-07-01,1.04
45-96,2024-10-01,1.04
45-96,2025-01-01,1.04
45-96,2025-04-01,1.04
45-96,2025-07-01,1.03
45-96,2025-10-01,1.03
45-96,2026-01-01,1.03
45-96,2026-04-01,1.04
49-53,2004-01-01,0.84
49-53,2004-04-01,0.87
49-53,2004-07-01,1
49-53,2004-10-01,0.87
49-53,2005-01-01,0.85
49-53,2005-04-01,1.01
49-53,2005-07-01,1.01
49-53,2005-10-01,0.86
49-53,2006-01-01,0.94
49-53,2006-04-01,1.06
49-53,2006-07-01,1.02
49-53,2006-10-01,0.9
49-53,2007-01-01,1.01
49-53,2007-04-01,1.06
49-53,2007-07-01,1.05
49-53,2007-10-01,0.91
49-53,2008-01-01,1.13
49-53,2008-04-01,1.04
49-53,2008-07-01,1.03
49-53,2008-10-01,0.98
49-53,2009-01-01,0.81
