origin,sex,date,value
tot,men,2010-06-01,4.073133081167676
tot,men,2010-07-01,4.344834319317876
tot,men,2010-08-01,4.403911642358879
tot,men,2010-09-01,4.266550928414431
tot,men,2010-10-01,3.9014062942891967
tot,men,2010-11-01,3.8610947038375127
tot,men,2010-12-01,4.126677062894749
tot,men,2011-01-01,4.475326542216567
tot,men,2011-02-01,4.48432963716435
tot,men,2011-03-01,4.355924631533605
tot,men,2011-04-01,4.136439704556905
tot,men,2011-05-01,3.8233068687937863
tot,men,2011-06-01,3.698008803606709
tot,men,2011-07-01,3.866527165389026
tot,men,2011-08-01,3.9846146821329094
tot,men,2011-09-01,3.991972862008549
tot,men,2011-10-01,3.8608306492697473
tot,men,2011-11-01,3.9935798824465083
tot,men,2011-12-01,4.2962645269584465
tot,men,2012-01-01,4.50679475239851
tot,men,2012-02-01,4.534003934916797
tot,men,2012-03-01,4.324349710148705
tot,men,2012-04-01,3.8184668564262245
tot,men,2012-05-01,3.5613386791530033
tot,men,2012-06-01,3.6493895467417192
tot,men,2012-07-01,4.286505304861641
tot,men,2012-08-01,4.606578508992378
tot,men,2012-09-01,4.578493310681901
tot,men,2012-10-01,4.279645840413015
tot,men,2012-11-01,4.423572050122545
tot,men,2012-12-01,4.791072215269552
tot,men,2013-01-01,5.123310309599953
tot,men,2013-02-01,5.179609217129969
tot,men,2013-03-01,4.942562786440826
tot,men,2013-04-01,4.442921559373887
tot,men,2013-05-01,4.1713776176327615
tot,men,2013-06-01,4.178859164453927
tot,men,2013-07-01,4.684784995084333
tot,men,2013-08-01,4.887664665494011
tot,men,2013-09-01,4.721766309708542
tot,men,2013-10-01,4.148363079116341
tot,men,2013-11-01,4.124156695674837
tot,men,2013-12-01,4.601268327937389
tot,men,2014-01-01,5.339437485239067
tot,men,2014-02-01,5.5067056669363295
tot,men,2014-03-01,5.272126894229318
tot,men,2014-04-01,4.806405969822249
tot,men,2014-05-01,4.492570928304008
tot,men,2014-06-01,4.41727648008966
tot,men,2014-07-01,4.80384688195889
tot,men,2014-08-01,4.945652222416016
tot,men,2014-09-01,4.706643318334001
tot,men,2014-10-01,3.9539511725777023
tot,men,2014-11-01,3.814783983212843
tot,men,2014-12-01,4.2201433729484945
tot,men,2015-01-01,4.890522740915672
tot,men,2015-02-01,5.057019632197546
tot,men,2015-03-01,4.92509921188555
tot,men,2015-04-01,4.495789143458623
tot,men,2015-05-01,4.239628819379189
tot,men,2015-06-01,4.2709296081669565
tot,men,2015-07-01,4.761817264229984
tot,men,2015-08-01,4.981695471310959
tot,men,2015-09-01,4.904833788478125
tot,men,2015-10-01,4.472433505702746
tot,men,2015-11-01,4.5082300701182065
tot,men,2015-12-01,4.9327547390657145
tot,men,2016-01-01,5.497448594957136
tot,men,2016-02-01,5.624039939137164
tot,men,2016-03-01,5.374603055099047
tot,men,2016-04-01,4.730998369704826
tot,men,2016-05-01,4.405177940491369
tot,men,2016-06-01,4.417457432094952
tot,men,2016-07-01,4.868352439848354
tot,men,2016-08-01,5.060879029646627
tot,men,2016-09-01,4.9116622744144
tot,men,2016-10-01,4.301911774680829
tot,men,2016-11-01,4.246754957595705
tot,men,2016-12-01,4.664223061624105
tot,men,2017-01-01,5.38777346795755
tot,men,2017-02-01,5.542995330699937
tot,men,2017-03-01,5.161482412343267
tot,men,2017-04-01,4.290669732329358
tot,men,2017-05-01,3.8865153208154384
tot,men,2017-06-01,3.9381539589305845
tot,men,2017-07-01,4.519265504370889
tot,men,2017-08-01,4.738907642358034
tot,men,2017-09-01,4.5996265077860174
tot,men,2017-10-01,4.135483823858372
tot,men,2017-11-01,4.136082223193725
tot,men,2017-12-01,4.519508704423018
tot,men,2018-01-01,5.1050032899453734
tot,men,2018-02-01,5.186224247591075
tot,men,2018-03-01,4.89693261326647
tot,men,2018-04-01,4.348996694615388
tot,men,2018-05-01,4.014742046014831
tot,men,2018-06-01,3.901939279631259
tot,men,2018-07-01,4.127330202361327
tot,men,2018-08-01,4.26559257699979
tot,men,2018-09-01,4.190974179130426
tot,men,2018-10-01,3.9694549702636266
tot,men,2018-11-01,4.063735881387791
tot,men,2018-12-01,4.352590850769196
tot,men,2019-01-01,4.60571429743535
tot,men,2019-02-01,4.60580999245117
tot,men,2019-03-01,4.41371760846282
tot,men,2019-04-01,4.097385802315293
tot,men,2019-05-01,3.872248765351881
tot,men,2019-06-01,3.839458587627178
tot,men,2019-07-01,4.225711602319634
tot,men,2019-08-01,4.395526562736288
tot,men,2019-09-01,4.211248824372445
tot,men,2019-10-01,3.6432167509255526
tot,men,2019-11-01,3.56665548462957
tot,men,2019-12-01,3.8992355610310114
tot,men,2020-01-01,4.369056655398896
tot,men,2020-02-01,4.403250019648257
tot,men,2020-03-01,4.523219571158962
tot,men,2020-04-01,4.698579392361099
tot,men,2020-05-01,4.806930922498847
tot,men,2020-06-01,4.8061517568156
tot,men,2020-07-01,4.901915732965087
tot,men,2020-08-01,4.937144274045661
tot,men,2020-09-01,4.801572634176841
tot,men,2020-10-01,4.416058124159399
tot,men,2020-11-01,4.41450799798558
tot,men,2020-12-01,4.800711887607811
tot,men,2021-01-01,5.33076813376645
tot,men,2021-02-01,5.436297678231989
tot,men,2021-03-01,5.321664610120685
tot,men,2021-04-01,5.071381103533914
tot,men,2021-05-01,4.855598388920382
tot,men,2021-06-01,4.74066029835903
tot,men,2021-07-01,4.891808919056243
tot,men,2021-08-01,4.878103030172366
tot,men,2021-09-01,4.65332530280875
tot,men,2021-10-01,4.210717033688003
tot,men,2021-11-01,4.107526135979618
tot,men,2021-12-01,4.299056934739697
tot,men,2022-01-01,4.53631615118518
tot,men,2022-02-01,4.494199434966119
tot,men,2022-03-01,4.282156598940778
tot,men,2022-04-01,3.8915028926652577
