D0,D1,D2,date,value
FH,L1015J,75PQP,2017-02-01,1.77
FH,L1015J,75PQP,2017-03-01,1.73
FH,L1015J,75PQP,2017-04-01,1.75
FH,L1015J,75PQP,2017-05-01,1.705
FH,L1015J,75PQP,2017-06-01,1.67
FH,L1015J,75PQP,2017-07-01,1.64
FH,L1015J,75PQP,2017-08-01,1.77
FH,L1015J,75PQP,2017-09-01,1.69
FH,L1015J,75PQP,2017-10-01,1.75
FH,L1015J,75PQP,2017-11-01,1.7075
FH,L1015J,75PQP,2017-12-01,1.7
FH,L1015J,75PQP,2018-01-01,1.7
FH,L1015J,75PQP,2018-02-01,1.79
FH,L1015J,75PQP,2018-03-01,1.835
FH,L1015J,75PQP,2018-04-01,1.8425
FH,L1015J,75PQP,2018-05-01,1.84
FH,L1015J,75PQP,2018-06-01,1.77
FH,L1015J,75PQP,2018-07-01,1.735
FH,L1015J,75PQP,2018-08-01,1.79
FH,L1015J,75PQP,2018-09-01,1.765
FH,L1015J,75PQP,2018-10-01,1.7625
FH,L1015J,75PQP,2018-11-01,1.7425
FH,L1015J,75PQP,2018-12-01,1.75
FH,L1015J,75PQP,2019-01-01,1.7
FH,L1015J,75PQP,2019-02-01,1.595
FH,L1015J,75PQP,2019-03-01,1.6
FH,L1015J,75PQP,2019-04-01,1.55
FH,L1015J,75PQP,2019-05-01,1.5
FH,L1015J,75PQP,2019-06-01,1.4725
FH,L1015J,75PQP,2019-07-01,1.39
FH,L1015J,75PQP,2019-08-01,1.255
FH,L1015J,75PQP,2019-09-01,1.25
FH,L1015J,75PQP,2019-10-01,1.2
FH,L1015J,75PQP,2019-11-01,1.3
FH,L1015J,75PQP,2019-12-01,1.2525
FH,L1015J,75PQP,2020-01-01,1.3
FH,L1015J,75PQP,2020-02-01,1.3
FH,L1015J,75PQP,2020-03-01,1.2
FH,L1015J,75PQP,2020-04-01,1.25
FH,L1015J,75PQP,2020-05-01,1.23
FH,L1015J,75PQP,2020-06-01,1.25
FH,L1015J,75PQP,2020-07-01,1.25
FH,L1015J,75PQP,2020-08-01,1.3063
FH,L1015J,75PQP,2020-09-01,1.32
FH,L1015J,75PQP,2020-10-01,1.2
FH,L1015J,75PQP,2020-11-01,1.26
FH,L1015J,75PQP,2020-12-01,1.25
FH,L1015J,75PQP,2021-01-01,1.23
FH,L1015J,75PQP,2021-02-01,1.25
FH,L1015J,75PQP,2021-03-01,1.39
FH,L1015J,75PQP,2021-04-01,1.35
FH,L1015J,75PQP,2021-05-01,1.46
FH,L1015J,75PQP,2021-06-01,1.41
FH,L1015J,75PQP,2021-07-01,1.34
FH,L1015J,75PQP,2021-08-01,1.265
FH,L1015J,75PQP,2021-09-01,1.22
FH,L1015J,75PQP,2021-10-01,1.3
FH,L1015J,75PQP,2021-11-01,1.35
FH,L1015J,75PQP,2021-12-01,1.29
FH,L1015J,75PQP,2022-01-01,1.4
FH,L1015J,75PQP,2022-02-01,1.6
FH,L1015J,75PQP,2022-03-01,1.7
