item,date,value
100_1,2014-08-01,101.0769
100_1,2014-09-01,101.2435
100_1,2014-10-01,99.9554
100_1,2014-11-01,99.8022
100_1,2014-12-01,99.3454
100_1,2015-01-01,99.8508
100_1,2015-02-01,99.1967
100_1,2015-03-01,98.872
100_1,2015-04-01,98.8186
100_1,2015-05-01,99.263
100_1,2015-06-01,100.0732
100_1,2015-07-01,99.5179
100_1,2015-08-01,99.9369
100_1,2015-09-01,99.8917
100_1,2015-10-01,99.3884
100_1,2015-11-01,99.2352
100_1,2015-12-01,98.1263
100_1,2016-01-01,98.4491
100_1,2016-02-01,98.7931
100_1,2016-03-01,98.8081
100_1,2016-04-01,98.8913
100_1,2016-05-01,99.4739
100_1,2016-06-01,100.6955
100_1,2016-07-01,100.7579
100_1,2016-08-01,101.2254
100_1,2016-09-01,100.4957
100_1,2016-10-01,100.2073
100_1,2016-11-01,100.0004
100_1,2016-12-01,99.0279
100_1,2017-01-01,99.349
100_1,2017-02-01,100.5949
100_1,2017-03-01,99.3825
100_1,2017-04-01,98.8644
100_1,2017-05-01,100.1846
100_1,2017-06-01,100.1049
100_1,2017-07-01,101.0639
100_1,2017-08-01,100.8676
100_1,2017-09-01,100.8125
100_1,2017-10-01,100.5871
100_1,2017-11-01,100.3325
100_1,2017-12-01,99.6495
100_1,2018-01-01,100.388
100_1,2018-02-01,100.1847
100_1,2018-03-01,100.3177
100_1,2018-04-01,100.2236
100_1,2018-05-01,101.7707
100_1,2018-06-01,102.229
100_1,2018-07-01,102.5587
100_1,2018-08-01,101.9309
100_1,2018-09-01,102.3564
100_1,2018-10-01,102.2678
100_1,2018-11-01,101.6083
100_1,2018-12-01,101.1245
100_1,2019-01-01,101.2391
100_1,2019-02-01,101.6537
100_1,2019-03-01,101.3648
100_1,2019-04-01,101.4571
100_1,2019-05-01,101.9797
100_1,2019-06-01,102.3679
100_1,2019-07-01,102.1778
100_1,2019-08-01,102.2628
100_1,2019-09-01,102.0102
100_1,2019-10-01,101.0133
100_1,2019-11-01,100.3776
100_1,2019-12-01,100.4216
100_1,2020-01-01,100.2553
100_1,2020-02-01,100.3282
100_1,2020-03-01,101.0264
100_1,2020-04-01,101.739
100_1,2020-05-01,102.375
100_1,2020-06-01,103.3797
100_1,2020-07-01,102.872
100_1,2020-08-01,102.4328
100_1,2020-09-01,102.4832
100_1,2020-10-01,101.8032
100_1,2020-11-01,100.7576
100_1,2020-12-01,100
100_1,2021-01-01,99.9883
100_1,2021-02-01,99.8237
100_1,2021-03-01,99.4905
100_1,2021-04-01,99.7449
100_1,2021-05-01,100.2662
100_1,2021-06-01,100.5002
100_1,2021-07-01,100.7808
100_1,2021-08-01,101.2516
100_1,2021-09-01,100.7135
100_1,2021-10-01,99.8108
100_1,2021-11-01,99.0919
100_1,2021-12-01,98.5889
100_1,2022-01-01,98.4684
100_1,2022-02-01,98.7092
100_1,2022-03-01,99.534
100_1,2022-04-01,99.4939
100_1,2022-05-01,101.3209
100_1,2022-06-01,102.4047
100_1,2022-07-01,102.6959
100_1,2022-08-01,103.7392
100_1,2022-09-01,103.6005
100_1,2022-10-01,103.9675
100_1,2022-11-01,103.4535
100_1,2022-12-01,102.5719
100_1,2023-01-01,104.0025
100_1,2023-02-01,105.1093
100_1,2023-03-01,105.8211
100_1,2023-04-01,104.9162
100_1,2023-05-01,106.6692
100_1,2023-06-01,107.6711
100_1,2023-07-01,108.1516
100_1,2023-08-01,108.0298
100_1,2023-09-01,107.5294
100_1,2023-10-01,107.3668
100_1,2023-11-01,106.7645
100_1,2023-12-01,105.9925
100_1,2024-01-01,106.4301
100_1,2024-02-01,105.9543
100_1,2024-03-01,105.3931
100_1,2024-04-01,105.9597
100_1,2024-05-01,106.9318
100_1,2024-06-01,107.3177
100_1,2024-07-01,108.2384
100_1,2024-08-01,107.9129
100_1,2024-09-01,107.7755
100_1,2024-10-01,107.043
100_1,2024-11-01,105.896
100_1,2024-12-01,105.005
100_1,2025-01-01,105.3077
100_1,2025-02-01,105.3013
100_1,2025-03-01,105.1717
100_1,2025-04-01,105.0677
100_1,2025-05-01,106.6632
100_1,2025-06-01,107.3158
100_1,2025-07-01,107.6241
100_1,2025-08-01,107.3341
100_1,2025-09-01,106.9572
100_1,2025-10-01,106.457
100_1,2025-11-01,105.5009
100_1,2025-12-01,104.1368
100_10,1982-12-01,36.9778
100_10,1983-01-01,36.9778
100_10,1983-02-01,37.3451
100_10,1983-03-01,37.3451
100_10,1983-04-01,37.3451
100_10,1983-05-01,37.6387
100_10,1983-06-01,37.6387
100_10,1983-07-01,37.6387
100_10,1983-08-01,38.1762
100_10,1983-09-01,38.1762
100_10,1983-10-01,38.1762
100_10,1983-11-01,39.5176
100_10,1983-12-01,39.5176
100_10,1984-01-01,39.5176
100_10,1984-02-01,39.7502
100_10,1984-03-01,39.7502
100_10,1984-04-01,39.7502
100_10,1984-05-01,39.8451
100_10,1984-06-01,39.8451
100_10,1984-07-01,39.8451
100_10,1984-08-01,40.0095
100_10,1984-09-01,40.0095
100_10,1984-10-01,40.0095
100_10,1984-11-01,40.9431
100_10,1984-12-01,40.9431
100_10,1985-01-01,40.9431
100_10,1985-02-01,40.9306
100_10,1985-03-01,40.9306
100_10,1985-04-01,40.9306
100_10,1985-05-01,41.2517
100_10,1985-06-01,41.2517
100_10,1985-07-01,41.2517
100_10,1985-08-01,41.4413
100_10,1985-09-01,41.4413
100_10,1985-10-01,41.4413
100_10,1985-11-01,43.5297
100_10,1985-12-01,43.5297
100_10,1986-01-01,43.5297
100_10,1986-02-01,43.5771
100_10,1986-03-01,43.5771
100_10,1986-04-01,43.5771
100_10,1986-05-01,43.5717
100_10,1986-06-01,43.5717
100_10,1986-07-01,43.5717
100_10,1986-08-01,44.3204
100_10,1986-09-01,44.3204
100_10,1986-10-01,44.3204
100_10,1986-11-01,45.642
100_10,1986-12-01,45.642
100_10,1987-01-01,45.642
100_10,1987-02-01,45.6608
100_10,1987-03-01,45.6608
100_10,1987-04-01,45.6608
100_10,1987-05-01,46.0314
100_10,1987-06-01,46.0314
100_10,1987-07-01,46.0314
100_10,1987-08-01,46.5029
100_10,1987-09-01,46.5029
100_10,1987-10-01,46.5029
100_10,1987-11-01,47.6913
100_10,1987-12-01,47.6913
100_10,1988-01-01,47.6913
100_10,1988-02-01,47.7246
100_10,1988-03-01,47.7246
100_10,1988-04-01,47.7246
100_10,1988-05-01,47.7753
100_10,1988-06-01,47.7753
100_10,1988-07-01,47.7753
100_10,1988-08-01,48.6181
100_10,1988-09-01,48.6181
100_10,1988-10-01,48.6181
100_10,1988-11-01,49.8325
100_10,1988-12-01,49.8325
100_10,1989-01-01,49.8325
100_10,1989-02-01,49.865
100_10,1989-03-01,49.865
100_10,1989-04-01,49.865
100_10,1989-05-01,49.9522
100_10,1989-06-01,49.9522
100_10,1989-07-01,49.9522
100_10,1989-08-01,50.85
100_10,1989-09-01,50.85
100_10,1989-10-01,50.85
100_10,1989-11-01,51.2486
100_10,1989-12-01,51.2486
100_10,1990-01-01,51.2486
100_10,1990-02-01,51.4003
100_10,1990-03-01,51.4003
100_10,1990-04-01,51.4003
100_10,1990-05-01,51.687
100_10,1990-06-01,51.687
100_10,1990-07-01,51.687
100_10,1990-08-01,53.5157
100_10,1990-09-01,53.5157
100_10,1990-10-01,53.5157
100_10,1990-11-01,54.6523
100_10,1990-12-01,54.6523
100_10,1991-01-01,54.6523
100_10,1991-02-01,54.6838
100_10,1991-03-01,54.6838
100_10,1991-04-01,54.6838
100_10,1991-05-01,55.0493
100_10,1991-06-01,55.0493
100_10,1991-07-01,55.0493
100_10,1991-08-01,56.7175
100_10,1991-09-01,56.7175
100_10,1991-10-01,56.7175
100_10,1991-11-01,59.1362
100_10,1991-12-01,59.1362
100_10,1992-01-01,59.1362
100_10,1992-02-01,59.1717
100_10,1992-03-01,59.1717
100_10,1992-04-01,59.1717
100_10,1992-05-01,59.2818
100_10,1992-06-01,59.2818
100_10,1992-07-01,59.2818
100_10,1992-08-01,61.1336
100_10,1992-09-01,61.1336
100_10,1992-10-01,61.1336
100_10,1992-11-01,63.0549
100_10,1992-12-01,63.0549
100_10,1993-01-01,63.0549
100_10,1993-02-01,62.8993
100_10,1993-03-01,62.8993
100_10,1993-04-01,62.8993
100_10,1993-05-01,63.0347
100_10,1993-06-01,63.1678
100_10,1993-07-01,63.1678
100_10,1993-08-01,63.1678
100_10,1993-09-01,65.2461
100_10,1993-10-01,65.2461
100_10,1993-11-01,65.2461
100_10,1993-12-01,65.2336
100_10,1994-01-01,65.2336
100_10,1994-02-01,65.2336
100_10,1994-03-01,65.2354
100_10,1994-04-01,65.2354
100_10,1994-05-01,65.2354
100_10,1994-06-01,65.3933
100_10,1994-07-01,65.3933
100_10,1994-08-01,65.3933
100_10,1994-09-01,66.5798
100_10,1994-10-01,66.5798
100_10,1994-11-01,66.5798
100_10,1994-12-01,66.9587
100_10,1995-01-01,66.9587
100_10,1995-02-01,66.9587
100_10,1995-03-01,66.9805
100_10,1995-04-01,66.9805
100_10,1995-05-01,66.9805
100_10,1995-06-01,67.2158
100_10,1995-07-01,67.2158
100_10,1995-08-01,67.2158
100_10,1995-09-01,68.9756
100_10,1995-10-01,68.9756
100_10,1995-11-01,68.9756
100_10,1995-12-01,69.1287
100_10,1996-01-01,69.1287
100_10,1996-02-01,69.1287
100_10,1996-03-01,69.2116
100_10,1996-04-01,69.2116
100_10,1996-05-01,69.2116
100_10,1996-06-01,70.0749
100_10,1996-07-01,70.0749
100_10,1996-08-01,70.0749
100_10,1996-09-01,72.3185
100_10,1996-10-01,72.3185
100_10,1996-11-01,72.3185
100_10,1996-12-01,72.4634
100_10,1997-01-01,72.4634
100_10,1997-02-01,72.4634
100_10,1997-03-01,72.5466
100_10,1997-04-01,72.5466
100_10,1997-05-01,72.5466
100_10,1997-06-01,72.5509
100_10,1997-07-01,72.5509
100_10,1997-08-01,72.5509
100_10,1997-09-01,73.9285
100_10,1997-10-01,73.9285
100_10,1997-11-01,73.9285
100_10,1997-12-01,74.2511
100_10,1998-01-01,74.2511
100_10,1998-02-01,74.2511
100_10,1998-03-01,74.2511
100_10,1998-04-01,74.2511
100_10,1998-05-01,74.2511
100_10,1998-06-01,74.2617
100_10,1998-07-01,74.2617
100_10,1998-08-01,74.2617
100_10,1998-09-01,75.0661
100_10,1998-10-01,75.0661
100_10,1998-11-01,75.0661
100_10,1998-12-01,75.0678
100_10,1999-01-01,75.0678
100_10,1999-02-01,75.0678
100_10,1999-03-01,75.0483
100_10,1999-04-01,75.0483
100_10,1999-05-01,75.0483
100_10,1999-06-01,75.1401
100_10,1999-07-01,75.1401
100_10,1999-08-01,75.1401
100_10,1999-09-01,76.2751
100_10,1999-10-01,76.2751
100_10,1999-11-01,76.2751
100_10,1999-12-01,76.3089
100_10,2000-01-01,76.3089
100_10,2000-02-01,76.3089
100_10,2000-03-01,76.4587
100_10,2000-04-01,76.4587
100_10,2000-05-01,76.4587
100_10,2000-06-01,76.4587
100_10,2000-07-01,76.4587
100_10,2000-08-01,76.4587
100_10,2000-09-01,77.0681
100_10,2000-10-01,77.0681
100_10,2000-11-01,77.0681
100_10,2000-12-01,77.1656
100_10,2001-01-01,77.1656
100_10,2001-02-01,77.1656
100_10,2001-03-01,77.2724
100_10,2001-04-01,77.2724
100_10,2001-05-01,77.2724
100_10,2001-06-01,77.2724
100_10,2001-07-01,77.2724
100_10,2001-08-01,77.2724
100_10,2001-09-01,77.8624
100_10,2001-10-01,77.8624
100_10,2001-11-01,77.8624
100_10,2001-12-01,78.0113
100_10,2002-01-01,78.0113
100_10,2002-02-01,78.0113
100_10,2002-03-01,78.1865
100_10,2002-04-01,78.1865
100_10,2002-05-01,78.1865
100_10,2002-06-01,78.1874
100_10,2002-07-01,78.1874
100_10,2002-08-01,78.1874
100_10,2002-09-01,79.1304
100_10,2002-10-01,79.1304
100_10,2002-11-01,79.1304
100_10,2002-12-01,79.5059
100_10,2003-01-01,79.5059
100_10,2003-02-01,79.5059
100_10,2003-03-01,79.5575
100_10,2003-04-01,79.5575
100_10,2003-05-01,79.5575
100_10,2003-06-01,79.5913
100_10,2003-07-01,79.5913
100_10,2003-08-01,79.5913
100_10,2003-09-01,80.9171
100_10,2003-10-01,80.9171
100_10,2003-11-01,80.9171
100_10,2003-12-01,80.9657
100_10,2004-01-01,80.9657
100_10,2004-02-01,80.9657
100_10,2004-03-01,80.9456
100_10,2004-04-01,80.9456
100_10,2004-05-01,80.9456
