D0,D1,D2,D3,date,value
AV1,KC5A,G,F,2024-08-01,26193
AV1,KC5A,G,F,2024-09-01,26542
AV1,KC5A,G,F,2024-10-01,26911
AV1,KC5A,G,F,2024-11-01,27193
AV1,KC5A,G,F,2024-12-01,26460
AV1,KC5A,G,F,2025-01-01,26983
AV1,KC5A,G,F,2025-02-01,27179
AV1,KC5A,G,F,2025-03-01,27103
AV1,KC5A,G,F,2025-04-01,24928
AV1,KC5A,G,F,2025-05-01,25317
AV1,KC5A,G,F,2025-06-01,24833
AV1,KC5A,G,F,2025-07-01,24864
AV1,KC5A,G,F,2025-08-01,24559
AV1,KC5A,G,F,2025-09-01,24575
AV1,KC5A,G,F,2025-10-01,25335
AV1,KC5A,G,F,2025-11-01,25792
AV1,KC5A,G,F,2025-12-01,25337
AV1,KC5A,G,F,2026-01-01,25452
AV1,KC5A,G,F,2026-02-01,25765
AV1,KC5A,G,F,2026-03-01,28016
AV1,KC5A,G,F,2026-04-01,27859
AV1,KC5A,H,F,2002-01-01,86949
AV1,KC5A,H,F,2002-02-01,86738
AV1,KC5A,H,F,2002-03-01,86447
AV1,KC5A,H,F,2002-04-01,86423
AV1,KC5A,H,F,2002-05-01,86545
AV1,KC5A,H,F,2002-06-01,87196
AV1,KC5A,H,F,2002-07-01,85658
AV1,KC5A,H,F,2002-08-01,85551
AV1,KC5A,H,F,2002-09-01,85584
AV1,KC5A,H,F,2002-10-01,84672
AV1,KC5A,H,F,2002-11-01,84535
AV1,KC5A,H,F,2002-12-01,84247
AV1,KC5A,H,F,2003-01-01,84114
AV1,KC5A,H,F,2003-02-01,83941
AV1,KC5A,H,F,2003-03-01,83763
AV1,KC5A,H,F,2003-04-01,83562
AV1,KC5A,H,F,2003-05-01,83447
AV1,KC5A,H,F,2003-06-01,83217
AV1,KC5A,H,F,2003-07-01,83045
AV1,KC5A,H,F,2003-08-01,83049
AV1,KC5A,H,F,2003-09-01,82751
AV1,KC5A,H,F,2003-10-01,82735
AV1,KC5A,H,F,2003-11-01,82748
AV1,KC5A,H,F,2003-12-01,81974
AV1,KC5A,H,F,2004-01-01,81651
AV1,KC5A,H,F,2004-02-01,82706
AV1,KC5A,H,F,2004-03-01,81951
AV1,KC5A,H,F,2004-04-01,81760
AV1,KC5A,H,F,2004-05-01,81580
AV1,KC5A,H,F,2004-06-01,81586
AV1,KC5A,H,F,2004-07-01,81445
AV1,KC5A,H,F,2004-08-01,81533
AV1,KC5A,H,F,2004-09-01,80329
AV1,KC5A,H,F,2004-10-01,81764
AV1,KC5A,H,F,2004-11-01,81847
AV1,KC5A,H,F,2004-12-01,83158
AV1,KC5A,H,F,2005-01-01,88375
AV1,KC5A,H,F,2005-02-01,88575
AV1,KC5A,H,F,2005-03-01,88796
AV1,KC5A,H,F,2005-04-01,88899
AV1,KC5A,H,F,2005-05-01,89132
AV1,KC5A,H,F,2005-06-01,89165
AV1,KC5A,H,F,2005-07-01,89132
AV1,KC5A,H,F,2005-08-01,89100
AV1,KC5A,H,F,2005-09-01,88955
AV1,KC5A,H,F,2005-10-01,89116
AV1,KC5A,H,F,2005-11-01,89259
AV1,KC5A,H,F,2005-12-01,89703
AV1,KC5A,H,F,2006-01-01,89864
AV1,KC5A,H,F,2006-02-01,90287
AV1,KC5A,H,F,2006-03-01,90509
AV1,KC5A,H,F,2006-04-01,90367
AV1,KC5A,H,F,2006-05-01,90657
AV1,KC5A,H,F,2006-06-01,90410
AV1,KC5A,H,F,2006-07-01,90874
AV1,KC5A,H,F,2006-08-01,90769
AV1,KC5A,H,F,2006-09-01,96601
AV1,KC5A,H,F,2006-10-01,96681
AV1,KC5A,H,F,2006-11-01,95747
AV1,KC5A,H,F,2006-12-01,96401
AV1,KC5A,H,F,2007-01-01,96873
AV1,KC5A,H,F,2007-02-01,96975
AV1,KC5A,H,F,2007-03-01,97387
AV1,KC5A,H,F,2007-04-01,96491
AV1,KC5A,H,F,2007-05-01,96618
AV1,KC5A,H,F,2007-06-01,96361
AV1,KC5A,H,F,2007-07-01,97354
AV1,KC5A,H,F,2007-08-01,97297
AV1,KC5A,H,F,2007-09-01,97444
AV1,KC5A,H,F,2007-10-01,97906
AV1,KC5A,H,F,2007-11-01,98257
AV1,KC5A,H,F,2007-12-01,97935
AV1,KC5A,H,F,2008-01-01,98326
AV1,KC5A,H,F,2008-02-01,98578
AV1,KC5A,H,F,2008-03-01,109839
AV1,KC5A,H,F,2008-04-01,110458
AV1,KC5A,H,F,2008-05-01,111281
AV1,KC5A,H,F,2008-06-01,111706
AV1,KC5A,H,F,2008-07-01,112524
AV1,KC5A,H,F,2008-08-01,112248
AV1,KC5A,H,F,2008-09-01,112116
AV1,KC5A,H,F,2008-10-01,112095
AV1,KC5A,H,F,2008-11-01,112588
AV1,KC5A,H,F,2008-12-01,113066
AV1,KC5A,H,F,2009-01-01,113824
AV1,KC5A,H,F,2009-02-01,114071
AV1,KC5A,H,F,2009-03-01,113371
AV1,KC5A,H,F,2009-04-01,114086
AV1,KC5A,H,F,2009-05-01,114396
AV1,KC5A,H,F,2009-06-01,115142
AV1,KC5A,H,F,2009-07-01,115938
AV1,KC5A,H,F,2009-08-01,116162
AV1,KC5A,H,F,2009-09-01,116738
AV1,KC5A,H,F,2009-10-01,117481
AV1,KC5A,H,F,2009-11-01,117955
AV1,KC5A,H,F,2009-12-01,118262
AV1,KC5A,H,F,2010-01-01,120223
AV1,KC5A,H,F,2010-02-01,120400
AV1,KC5A,H,F,2010-03-01,121045
AV1,KC5A,H,F,2010-04-01,121827
AV1,KC5A,H,F,2010-05-01,122057
AV1,KC5A,H,F,2010-06-01,123216
AV1,KC5A,H,F,2010-07-01,123754
AV1,KC5A,H,F,2010-08-01,123922
AV1,KC5A,H,F,2010-09-01,124315
AV1,KC5A,H,F,2010-10-01,127214
AV1,KC5A,H,F,2010-11-01,127489
AV1,KC5A,H,F,2010-12-01,128004
AV1,KC5A,H,F,2011-01-01,129955
AV1,KC5A,H,F,2011-02-01,130533
AV1,KC5A,H,F,2011-03-01,131385
AV1,KC5A,H,F,2011-04-01,132211
AV1,KC5A,H,F,2011-05-01,132791
AV1,KC5A,H,F,2011-06-01,133274
AV1,KC5A,H,F,2011-07-01,133866
AV1,KC5A,H,F,2011-08-01,134394
AV1,KC5A,H,F,2011-09-01,135544
AV1,KC5A,H,F,2011-10-01,135808
AV1,KC5A,H,F,2011-11-01,136419
AV1,KC5A,H,F,2011-12-01,136598
