canton,date,value
14,2017-10-01,4951.632
14,2018-01-01,4907.626
14,2018-04-01,4930.1875
14,2018-07-01,4926.9995
14,2018-10-01,4891.947
14,2019-01-01,4903.7036
14,2019-04-01,4945.327
14,2019-07-01,5048.3604
14,2019-10-01,5016.0386
14,2020-01-01,5057.095
14,2020-04-01,5092.571
14,2020-07-01,5129.6484
14,2020-10-01,5104.095
14,2021-01-01,5070.0283
14,2021-04-01,5111.14
14,2021-07-01,5168.886
14,2021-10-01,5212.2827
14,2022-01-01,5233.911
14,2022-04-01,5348.8926
14,2022-07-01,5394.577
14,2022-10-01,5440.653
14,2023-01-01,5558.3584
14,2023-04-01,5577.6943
14,2023-07-01,5652.0156
14,2023-10-01,5628.4136
14,2024-01-01,5642.2734
14,2024-04-01,5656.6064
14,2024-07-01,5709.9565
14,2024-10-01,5708.46
14,2025-01-01,5719.3887
14,2025-04-01,5762.531
14,2025-07-01,5782.06
14,2025-10-01,5743.615
14,2026-01-01,5739.0894
15,2002-07-01,183.85538
15,2002-10-01,181.07881
15,2003-01-01,187.32674
15,2003-04-01,188.08574
15,2003-07-01,192.5169
15,2003-10-01,197.78777
15,2004-01-01,205.44041000000001
15,2004-04-01,206.27225
15,2004-07-01,190.98993
15,2004-10-01,188.3126
15,2005-01-01,192.31456
15,2005-04-01,186.63853
15,2005-07-01,178.41953
15,2005-10-01,182.45937
15,2006-01-01,190.61142
15,2006-04-01,191.06555
15,2006-07-01,195.36221
15,2006-10-01,207.18231
15,2007-01-01,211.36232
15,2007-04-01,218.12701
15,2007-07-01,231.37639
15,2007-10-01,228.31863
15,2008-01-01,222.96158
15,2008-04-01,232.34499
15,2008-07-01,227.43556
15,2008-10-01,217.32367
15,2009-01-01,225.369
15,2009-04-01,230.57681
15,2009-07-01,235.66534
15,2009-10-01,244.32076
15,2010-01-01,260.40887
15,2010-04-01,271.9139
15,2010-07-01,270.84726
15,2010-10-01,269.6359
15,2011-01-01,266.63687
15,2011-04-01,275.26996
15,2011-07-01,289.0085
15,2011-10-01,312.3323
15,2012-01-01,325.12418
15,2012-04-01,333.42126
15,2012-07-01,335.82336
15,2012-10-01,315.75815
15,2013-01-01,316.70865
15,2013-04-01,319.3841
15,2013-07-01,329.36273
15,2013-10-01,344.80643
15,2014-01-01,355.5381
15,2014-04-01,363.97504
15,2014-07-01,363.84958
15,2014-10-01,358.5851
15,2015-01-01,345.28674
15,2015-04-01,358.385
15,2015-07-01,367.6407
15,2015-10-01,366.5318
15,2016-01-01,359.89136
15,2016-04-01,379.01932
15,2016-07-01,368.56546
15,2016-10-01,366.3715
15,2017-01-01,366.68137
15,2017-04-01,371.13556
15,2017-07-01,366.16476
15,2017-10-01,354.07156
15,2018-01-01,368.97803
15,2018-04-01,381.45132
15,2018-07-01,373.47125
15,2018-10-01,373.4813
15,2019-01-01,380.92618
15,2019-04-01,384.89117
15,2019-07-01,395.25195
15,2019-10-01,408.59903
15,2020-01-01,388.49274
15,2020-04-01,408.94754
15,2020-07-01,418.7071
15,2020-10-01,417.7843
15,2021-01-01,416.26846
15,2021-04-01,436.53073
15,2021-07-01,441.67563
15,2021-10-01,439.17413
15,2022-01-01,438.627
15,2022-04-01,453.69403
15,2022-07-01,449.6387
15,2022-10-01,453.16678
15,2023-01-01,465.14548
15,2023-04-01,476.58234
15,2023-07-01,473.05917
15,2023-10-01,469.75443
15,2024-01-01,462.7753
15,2024-04-01,466.65662
15,2024-07-01,474.35513
15,2024-10-01,455.32513
15,2025-01-01,452.8374
15,2025-04-01,448.42978
15,2025-07-01,447.5876
15,2025-10-01,450.98337
15,2026-01-01,450.78586
16,2002-07-01,54.39785
16,2002-10-01,51.65364
16,2003-01-01,53.321655
16,2003-04-01,54.238136
16,2003-07-01,55.933903
16,2003-10-01,54.976128
16,2004-01-01,56.15341
16,2004-04-01,56.286125
16,2004-07-01,56.027
16,2004-10-01,53.235725
16,2005-01-01,52.116577
16,2005-04-01,52.55345
16,2005-07-01,50.688072
16,2005-10-01,51.280029999999996
16,2006-01-01,50.715923
16,2006-04-01,49.137016
16,2006-07-01,45.630207
16,2006-10-01,44.67402
16,2007-01-01,45.768158
16,2007-04-01,48.75655
16,2007-07-01,48.827225
16,2007-10-01,46.189774
16,2008-01-01,54.057518
16,2008-04-01,59.29139
16,2008-07-01,61.443718
16,2008-10-01,59.485935
16,2009-01-01,63.63909
16,2009-04-01,67.25098
16,2009-07-01,69.09807
16,2009-10-01,66.72664
16,2010-01-01,70.73104
16,2010-04-01,73.4298
16,2010-07-01,71.9575
16,2010-10-01,66.75105
16,2011-01-01,73
16,2011-04-01,77
16,2011-07-01,74
16,2011-10-01,68.56216
16,2012-01-01,75.55675
16,2012-04-01,80.583755
16,2012-07-01,83.58234
16,2012-10-01,81.57581
16,2013-01-01,88.13133
16,2013-04-01,90.186516
16,2013-07-01,88.59575
16,2013-10-01,96.54177
16,2014-01-01,97.48027
16,2014-04-01,102.48872
16,2014-07-01,111.48473
16,2014-10-01,124.42332
16,2015-01-01,126.831245
16,2015-04-01,113.860756
16,2015-07-01,109.85627
16,2015-10-01,109.342094
16,2016-01-01,106.188446
16,2016-04-01,111.638
16,2016-07-01,102.13617
16,2016-10-01,99.085724
16,2017-01-01,105.801445
16,2017-04-01,107.806526
16,2017-07-01,107.316925
16,2017-10-01,105.26786
16,2018-01-01,102.69363
16,2018-04-01,102.64789
16,2018-07-01,102.585075
16,2018-10-01,110.48128
16,2019-01-01,109.52733
16,2019-04-01,107.50352
16,2019-07-01,108.007286
16,2019-10-01,98.607376
16,2020-01-01,100.53023
16,2020-04-01,105.55672
16,2020-07-01,107.83663
16,2020-10-01,107.84153
16,2021-01-01,102.179436
16,2021-04-01,103.20775
16,2021-07-01,108.19951
16,2021-10-01,105.65497
16,2022-01-01,103.62939
16,2022-04-01,108.5388
16,2022-07-01,109.176544
16,2022-10-01,110.63208
16,2023-01-01,100.98134
16,2023-04-01,100.25982
16,2023-07-01,101.18736
16,2023-10-01,97.08029
16,2024-01-01,99.99488
16,2024-04-01,97.766945
16,2024-07-01,100.0921
16,2024-10-01,96.1891
16,2025-01-01,95.38607
16,2025-04-01,99.82945
16,2025-07-01,101.686806
16,2025-10-01,96.95305
16,2026-01-01,93.909454
17,2002-07-01,6444.6255
17,2002-10-01,6336.8994
17,2003-01-01,6281.7617
17,2003-04-01,6263.0293
17,2003-07-01,6154.151
17,2003-10-01,6054.142
17,2004-01-01,6039.521
17,2004-04-01,6199.384
17,2004-07-01,5918.9575
17,2004-10-01,5797.536
17,2005-01-01,5802.6597
17,2005-04-01,5721.5464
17,2005-07-01,5530.195
17,2005-10-01,5532.631
17,2006-01-01,5627.025
17,2006-04-01,5781.727
17,2006-07-01,5992.11
17,2006-10-01,6126.2017
17,2007-01-01,6310.1846
17,2007-04-01,6411.757
17,2007-07-01,6497.8457
17,2007-10-01,6465.7134
17,2008-01-01,6633.2983
17,2008-04-01,6714.423
17,2008-07-01,6690.3667
17,2008-10-01,6571.288
17,2009-01-01,6526.106
17,2009-04-01,6597.716
17,2009-07-01,6500.798
17,2009-10-01,6497.1895
17,2010-01-01,6634.495
17,2010-04-01,6815.831
17,2010-07-01,6812.2734
17,2010-10-01,6723.045
17,2011-01-01,6992.382
17,2011-04-01,7193.9287
17,2011-07-01,7313.8765
17,2011-10-01,7392.2686
17,2012-01-01,7584.6323
17,2012-04-01,7688.316
17,2012-07-01,7725.94
17,2012-10-01,7754.215
17,2013-01-01,7687.443
17,2013-04-01,7768.599
17,2013-07-01,7936.6953
17,2013-10-01,7897.1504
17,2014-01-01,7937.114
17,2014-04-01,7996.985
17,2014-07-01,8048.341
17,2014-10-01,8036.811
17,2015-01-01,8070.436
17,2015-04-01,8230.138
17,2015-07-01,8376.172
17,2015-10-01,8390.025
17,2016-01-01,8538.77
17,2016-04-01,8691.227
17,2016-07-01,8807.582
17,2016-10-01,8858.614
17,2017-01-01,8877.331
17,2017-04-01,9067.067
17,2017-07-01,9172.346
17,2017-10-01,9066.344
17,2018-01-01,9017.09
17,2018-04-01,9114.2
17,2018-07-01,9128.45
17,2018-10-01,9128.665
17,2019-01-01,9085.517
17,2019-04-01,9230.433
17,2019-07-01,9281.849
17,2019-10-01,9246.283
17,2020-01-01,9299.602
17,2020-04-01,9358.564
17,2020-07-01,9424.839
17,2020-10-01,9408.317
17,2021-01-01,9423.843
17,2021-04-01,9496.8125
17,2021-07-01,9552.386
17,2021-10-01,9618.006
17,2022-01-01,9647.246
17,2022-04-01,9780.966
17,2022-07-01,9945.295
17,2022-10-01,9986.865
17,2023-01-01,10038.879
17,2023-04-01,10025.569
17,2023-07-01,10174.071
17,2023-10-01,10128.977
17,2024-01-01,10063.833
17,2024-04-01,10154.307
17,2024-07-01,10150.011
17,2024-10-01,10085.316
17,2025-01-01,10132.957
17,2025-04-01,10239.3955
17,2025-07-01,10223.937
17,2025-10-01,10224.413
17,2026-01-01,10171.468
18,2002-07-01,3506.4429
18,2002-10-01,3326.3855
18,2003-01-01,3286.8936
18,2003-04-01,3391.6912
18,2003-07-01,3444.8723
18,2003-10-01,3074.4082
18,2004-01-01,3283.049
18,2004-04-01,3447.4194
18,2004-07-01,3349.9182
18,2004-10-01,2834.4346
18,2005-01-01,3020.1106
18,2005-04-01,3206.785
18,2005-07-01,3114.1155
18,2005-10-01,2744.6873
18,2006-01-01,2864.521
18,2006-04-01,3142.1924
18,2006-07-01,3189.8267
18,2006-10-01,2879.8115
18,2007-01-01,3125.601
18,2007-04-01,3384.1787
18,2007-07-01,3428.32
18,2007-10-01,3141.1182
18,2008-01-01,3379.8435
18,2008-04-01,3595.4329
18,2008-07-01,3587.0623
18,2008-10-01,3338.1743
18,2009-01-01,3563.0605
18,2009-04-01,3796.3628
18,2009-07-01,3805.99
18,2009-10-01,3586.8838
18,2010-01-01,3837.4346
18,2010-04-01,4211.1025
18,2010-07-01,4282.045
18,2010-10-01,3930.9065
18,2011-01-01,4217.988
18,2011-04-01,4822.299
18,2011-07-01,4938.133
18,2011-10-01,4336.1772
18,2012-01-01,4506.658
18,2012-04-01,5112.468
18,2012-07-01,5241.045
18,2012-10-01,4733.9517
18,2013-01-01,4780.2446
18,2013-04-01,5424.1436
18,2013-07-01,5448.331
18,2013-10-01,5072.0405
18,2014-01-01,5144.251
18,2014-04-01,5690.731
18,2014-07-01,5805.1763
18,2014-10-01,5582.9644
18,2015-01-01,5434.019
18,2015-04-01,5800.3745
18,2015-07-01,5984.1855
18,2015-10-01,5710.8936
18,2016-01-01,5595.165
18,2016-04-01,6016.0835
18,2016-07-01,6115.705
18,2016-10-01,6246.006
18,2017-01-01,5931.8467
18,2017-04-01,6338.759
18,2017-07-01,6432.848
18,2017-10-01,6432.496
18,2018-01-01,6138.312
18,2018-04-01,6599.76
18,2018-07-01,6704.008
18,2018-10-01,6774.202
18,2019-01-01,6612.8403
18,2019-04-01,6987.189
18,2019-07-01,7097.4243
18,2019-10-01,7185.862
18,2020-01-01,6907.677
18,2020-04-01,7221.5713
18,2020-07-01,7639.3184
18,2020-10-01,7688.544
18,2021-01-01,7508.005
18,2021-04-01,8150.7935
18,2021-07-01,8435.234
18,2021-10-01,8627.855
18,2022-01-01,8639.085
18,2022-04-01,8895.324
18,2022-07-01,9129.127
18,2022-10-01,9317.875
18,2023-01-01,9476.165
18,2023-04-01,9658.985
18,2023-07-01,9865.517
18,2023-10-01,9877.641
18,2024-01-01,10008.523
18,2024-04-01,9745.969
18,2024-07-01,9835.076
18,2024-10-01,9863.6
18,2025-01-01,9981.264
18,2025-04-01,9789.137
18,2025-07-01,9810.751
18,2025-10-01,9781.264
18,2026-01-01,10200.206
19,2002-07-01,7949.9727
19,2002-10-01,7874.373
19,2003-01-01,7897.049
19,2003-04-01,7880.6084
19,2003-07-01,7907.2314
19,2003-10-01,7843.846
19,2004-01-01,7919.235
19,2004-04-01,8124.7373
19,2004-07-01,7790.778
19,2004-10-01,7700.227
19,2005-01-01,7807.052
19,2005-04-01,7737.6924
19,2005-07-01,7607.3877
19,2005-10-01,7717.0747
19,2006-01-01,7810.7524
19,2006-04-01,8042.5234
19,2006-07-01,8351.997
19,2006-10-01,8281.555
19,2007-01-01,8692.452
19,2007-04-01,8956.573
19,2007-07-01,9122.051
19,2007-10-01,9119.456
19,2008-01-01,9285.767
19,2008-04-01,9395.424
19,2008-07-01,9381.313
19,2008-10-01,9365.12
19,2009-01-01,9545.761
19,2009-04-01,9840.158
19,2009-07-01,9913.179
19,2009-10-01,10107.909
19,2010-01-01,10469.233
19,2010-04-01,10837.782
19,2010-07-01,10995.715
19,2010-10-01,10708.371
19,2011-01-01,10867.792
